claim_number,subrogation,claim_est_payout,liab_prct,claim_date,claim_day_of_week,channel,zip_code,witness_present_ind,policy_report_filed_ind,in_network_bodyshop,accident_key,policyholder_key,vehicle_key,driver_key
2072654,0,2556.5,35,3/2/2016,Sunday,Broker,50025,Y,0,no,5.0,57.0,57.0,57.0
8683367,1,4975.84,27,7/18/2016,Sunday,Phone,15019,N,1,yes,1.0,58.0,58.0,58.0
5262278,0,2890.6,41,1/12/2015,Wednesday,Phone,20136,N,1,no,9.0,59.0,59.0,59.0
1178533,1,3797.13,27,8/28/2016,Tuesday,Phone,50041,N,0,yes,7.0,60.0,60.0,60.0
4737162,0,3077.32,46,5/24/2016,Tuesday,Broker,15001,N,0,yes,4.0,61.0,61.0,61.0
5926506,1,4039.92,32,2/28/2016,Saturday,Broker,50037,Y,1,yes,11.0,62.0,62.0,62.0
3504724,0,6605.45,57,7/25/2015,Friday,Phone,15021,N,0,yes,3.0,43.0,63.0,63.0
3557520,1,299.34,29,2/9/2016,Saturday,Broker,85063,Y,1,no,2.0,63.0,64.0,64.0
5268113,0,1012.91,41,9/10/2016,Wednesday,Online,85027,N,1,yes,12.0,64.0,65.0,65.0
4181033,0,4796.72,47,7/12/2015,Friday,Broker,85010,N,1,no,8.0,65.0,66.0,66.0
4641568,1,2177.05,28,4/8/2015,Wednesday,Broker,15010,Y,0,no,3.0,66.0,67.0,67.0
6270866,1,1579.24,22,5/6/2016,Thursday,Phone,50013,Y,1,yes,2.0,67.0,68.0,68.0
7095983,1,621.37,30,5/6/2016,Saturday,Phone,50049,N,1,yes,3.0,21.0,69.0,69.0
3269266,0,2106.23,37,5/14/2016,Friday,Broker,50021,N,1,yes,7.0,68.0,70.0,70.0
8933853,0,2154.44,54,10/13/2016,Sunday,Broker,50031,N,1,no,5.0,69.0,71.0,71.0
5153898,0,3692.56,34,3/2/2015,Tuesday,Broker,20110,N,1,no,12.0,70.0,72.0,72.0
4386110,0,4191.37,39,8/5/2015,Saturday,Phone,50040,Y,1,yes,11.0,71.0,73.0,73.0
7705790,0,15339.46,39,5/22/2016,Tuesday,Phone,50002,Y,1,yes,7.0,72.0,74.0,74.0
7630101,0,1212.01,32,1/5/2015,Thursday,Broker,85010,N,0,yes,10.0,73.0,75.0,75.0
5929193,1,3903.09,31,8/12/2016,Sunday,Broker,85009,N,1,yes,3.0,74.0,76.0,76.0
5622385,0,4033.75,41,11/20/2016,Wednesday,Phone,20120,Y,1,yes,3.0,75.0,77.0,77.0
8787634,0,13801.43,36,11/30/2016,Friday,Phone,20156,N,0,yes,4.0,76.0,78.0,78.0
4839468,0,2710.9,40,12/12/2016,Friday,Online,80047,Y,1,yes,8.0,77.0,79.0,79.0
6336467,0,1829.07,41,6/15/2015,Monday,Phone,20135,Y,1,yes,8.0,78.0,80.0,80.0
2486197,1,2918.1,26,7/27/2016,Monday,Broker,20148,N,1,yes,3.0,79.0,81.0,81.0
3986536,0,3123.23,46,1/6/2016,Wednesday,Phone,50029,Y,0,no,9.0,80.0,82.0,82.0
1132898,1,18557.22,40,2/29/2016,Tuesday,Broker,80108,N,0,yes,10.0,81.0,83.0,83.0
7448479,1,6777.91,45,6/5/2015,Tuesday,Broker,20118,N,0,yes,10.0,82.0,84.0,84.0
9234723,0,1342.81,48,6/11/2015,Thursday,Broker,50039,N,1,yes,10.0,83.0,85.0,85.0
6407493,0,1676.9,28,3/14/2016,Tuesday,Broker,15003,Y,1,yes,11.0,84.0,86.0,86.0
9237508,1,2032.8,34,6/18/2016,Monday,Phone,20153,Y,0,yes,10.0,85.0,87.0,87.0
6327745,0,3853.38,29,6/24/2015,Thursday,Broker,85045,N,0,yes,3.0,86.0,88.0,88.0
5030388,0,1164.26,33,12/25/2015,Saturday,Phone,15001,N,0,yes,2.0,87.0,89.0,89.0
5811235,0,1085.03,52,10/12/2016,Saturday,Broker,80022,N,1,yes,4.0,88.0,90.0,33.0
2110843,1,13561.32,43,11/23/2016,Friday,Broker,15004,Y,1,no,1.0,74.0,91.0,90.0
1462884,0,1603.27,22,11/11/2015,Friday,Broker,50012,N,0,yes,7.0,89.0,92.0,91.0
9596396,1,2278.43,26,5/26/2015,Friday,Phone,80022,Y,0,yes,10.0,90.0,93.0,92.0
8846842,1,2438.49,36,7/3/2015,Sunday,Broker,20131,N,1,yes,12.0,91.0,94.0,93.0
7820750,1,3416.29,45,10/25/2015,Thursday,Phone,50022,N,1,yes,8.0,92.0,95.0,94.0
2054223,0,8241.5,36,10/31/2015,Tuesday,Phone,15038,N,1,yes,11.0,93.0,96.0,95.0
1541514,0,1831.19,53,5/6/2016,Monday,Broker,20105,Y,0,no,6.0,94.0,97.0,96.0
4809876,0,996.23,42,8/29/2015,Thursday,Online,80016,N,1,no,7.0,95.0,98.0,97.0
7330135,1,1908.67,33,6/14/2016,Sunday,Phone,15026,Y,0,yes,2.0,96.0,99.0,98.0
7014924,0,1666.73,64,7/2/2016,Friday,Phone,80002,N,1,no,3.0,97.0,100.0,99.0
4175434,0,3011.55,45,1/8/2015,Sunday,Broker,20122,N,1,yes,2.0,98.0,101.0,100.0
7570764,1,2923.09,44,4/8/2016,Monday,Phone,50023,Y,1,no,8.0,99.0,102.0,101.0
7993275,0,2510.66,33,6/4/2016,Tuesday,Broker,15046,N,1,yes,11.0,17.0,103.0,102.0
8350890,0,1056.1,41,5/15/2015,Thursday,Broker,85040,N,0,yes,12.0,100.0,104.0,103.0
1319331,0,7103.41,43,2/6/2016,Tuesday,Online,80023,N,1,yes,11.0,101.0,105.0,104.0
4960137,1,4164.31,17,4/23/2016,Monday,Broker,85041,N,0,yes,2.0,102.0,106.0,105.0
4126974,0,4492.8,34,1/19/2015,Monday,Phone,15014,N,1,yes,1.0,103.0,107.0,106.0
8559605,1,2875.16,35,8/4/2016,Sunday,Broker,20159,N,0,yes,12.0,104.0,108.0,107.0
4019448,1,1031.53,36,1/1/2016,Thursday,Phone,20111,Y,0,no,2.0,105.0,109.0,108.0
2387163,0,21504.28,42,1/22/2015,Monday,Phone,80106,Y,1,no,1.0,106.0,110.0,109.0
4558725,0,2193,36,4/12/2016,Saturday,Broker,50059,N,1,yes,1.0,107.0,111.0,110.0
3831078,0,1091.53,37,2/13/2015,Thursday,Broker,85044,N,1,no,5.0,108.0,112.0,111.0
6618154,0,10191.39,50,1/12/2015,Wednesday,Online,50023,Y,1,yes,10.0,21.0,113.0,112.0
9208483,1,2180.3,28,2/2/2016,Wednesday,Broker,15060,Y,1,yes,7.0,109.0,114.0,113.0
7791041,0,5363.79,57,7/17/2016,Thursday,Broker,20165,N,1,yes,9.0,110.0,115.0,114.0
5493842,0,14433.45,43,7/5/2016,Friday,Broker,85045,N,1,yes,10.0,111.0,116.0,115.0
4360851,0,1070.24,27,6/27/2015,Saturday,Broker,20110,N,1,no,4.0,112.0,117.0,116.0
4899599,0,1762.33,47,9/26/2016,Saturday,Phone,20135,N,1,yes,3.0,113.0,118.0,117.0
2841083,0,1965.88,33,2/14/2016,Saturday,Phone,15050,N,1,yes,7.0,114.0,119.0,118.0
8603675,0,7672.64,52,2/24/2015,Saturday,Broker,85004,N,1,yes,1.0,115.0,120.0,119.0
4232675,0,1594.66,38,9/29/2015,Thursday,Broker,85017,N,0,yes,6.0,116.0,121.0,120.0
5666496,0,3552.43,29,10/27/2015,Monday,Broker,15003,N,1,no,2.0,117.0,122.0,121.0
2472422,0,964.44,20,6/14/2016,Friday,Broker,15005,N,0,yes,9.0,118.0,123.0,122.0
6275795,0,1370.9,27,8/16/2015,Friday,Online,85031,Y,1,yes,7.0,119.0,124.0,123.0
6244061,0,4079.95,39,10/7/2015,Thursday,Online,85062,Y,0,no,5.0,120.0,125.0,124.0
6783520,0,3035.32,19,5/6/2016,Monday,Broker,85007,N,0,yes,5.0,121.0,126.0,125.0
9613764,0,2253.32,36,6/29/2016,Wednesday,Broker,20117,N,0,yes,7.0,122.0,127.0,126.0
7014192,1,897.93,36,2/9/2016,Sunday,Online,20128,Y,1,yes,10.0,123.0,128.0,127.0
2623148,0,6979.81,31,1/13/2015,Friday,Phone,15054,Y,1,no,9.0,124.0,129.0,128.0
8665704,1,10249.77,27,5/8/2016,Wednesday,Online,80006,N,1,yes,11.0,36.0,130.0,129.0
7505002,0,1998.91,41,11/15/2015,Thursday,Broker,80027,N,1,yes,4.0,125.0,131.0,130.0
9959133,0,433.77,39,9/10/2015,Monday,Phone,15035,N,1,no,5.0,126.0,132.0,131.0
6432147,0,6048.23,51,4/17/2016,Saturday,Phone,80002,N,1,yes,3.0,127.0,133.0,132.0
4105609,0,2429.79,42,7/1/2015,Saturday,Phone,0,N,0,no,10.0,128.0,134.0,133.0
2204974,0,2233.44,42,3/18/2016,Friday,Online,20151,N,1,yes,5.0,129.0,135.0,134.0
4430081,1,2879.03,35,3/3/2015,Wednesday,Broker,50056,N,1,no,2.0,130.0,136.0,135.0
4251697,0,1494.46,57,4/14/2016,Sunday,Broker,80101,Y,1,yes,4.0,131.0,137.0,136.0
9230743,0,1360.69,47,6/16/2015,Sunday,Broker,80019,Y,1,no,12.0,132.0,138.0,137.0
4721191,0,253.78,33,6/22/2015,Sunday,Broker,80027,N,0,no,12.0,133.0,139.0,138.0
4249334,0,1203.35,38,2/2/2016,Saturday,Broker,85071,Y,1,no,9.0,134.0,140.0,139.0
4578020,0,2690.76,58,9/13/2015,Thursday,Phone,20151,Y,0,yes,11.0,135.0,141.0,140.0
6559943,0,5613.62,43,4/16/2016,Tuesday,Online,20153,Y,1,no,5.0,136.0,142.0,141.0
3980914,1,2702.23,41,3/26/2016,Saturday,Broker,20109,Y,1,yes,1.0,137.0,143.0,142.0
4510229,1,249.31,28,10/13/2016,Monday,Online,50041,N,1,no,7.0,138.0,144.0,143.0
5740710,1,4084.53,26,3/9/2015,Monday,Broker,80103,Y,1,yes,6.0,139.0,145.0,144.0
2337739,0,677.29,53,7/20/2016,Monday,Online,50049,N,0,yes,3.0,140.0,146.0,145.0
3634304,1,1456.97,40,2/13/2015,Monday,Broker,80025,Y,0,yes,10.0,141.0,147.0,146.0
5267932,0,5201.31,44,9/25/2016,Monday,Phone,80109,N,1,yes,7.0,142.0,148.0,147.0
3741441,0,6225.38,21,12/1/2016,Thursday,Phone,50011,Y,0,yes,11.0,143.0,149.0,148.0
9388118,0,1908.02,35,1/23/2015,Saturday,Broker,85041,N,1,yes,3.0,144.0,150.0,149.0
1403238,1,3921.48,22,9/17/2015,Tuesday,Broker,50011,N,1,yes,1.0,145.0,151.0,150.0
3153921,0,9225.55,45,9/17/2015,Wednesday,Online,20143,Y,1,yes,3.0,146.0,152.0,151.0
8945742,0,630.63,31,12/11/2015,Tuesday,Phone,85038,N,1,yes,2.0,37.0,153.0,152.0
5285072,1,4934.17,21,9/28/2015,Tuesday,Broker,15047,N,1,no,11.0,147.0,154.0,153.0
9629729,1,2321.02,47,10/16/2015,Sunday,Online,50009,Y,1,yes,9.0,148.0,155.0,154.0
8404308,1,5465.16,42,6/30/2015,Monday,Broker,15042,N,1,no,7.0,149.0,156.0,155.0
3474797,0,3974.47,33,3/1/2016,Friday,Online,85029,Y,0,no,2.0,150.0,157.0,156.0
5421543,0,7389.87,53,6/28/2015,Saturday,Broker,85040,Y,0,yes,4.0,151.0,158.0,157.0
1649303,0,1122.41,46,3/8/2016,Tuesday,Phone,50039,N,0,yes,1.0,152.0,159.0,158.0
7134385,0,9982.59,38,5/13/2015,Friday,Phone,15001,Y,1,no,3.0,153.0,160.0,159.0
5649506,0,1683.47,45,4/19/2015,Saturday,Broker,20156,N,0,no,10.0,154.0,161.0,160.0
2572363,0,1802.68,38,3/7/2015,Wednesday,Broker,20132,N,0,no,9.0,155.0,162.0,161.0
1279951,1,2868.07,35,10/2/2015,Wednesday,Broker,80014,N,1,yes,10.0,156.0,163.0,162.0
5978263,0,1032.31,49,12/1/2016,Thursday,Online,50055,N,0,yes,5.0,157.0,164.0,163.0
9749527,0,1678.59,42,11/26/2015,Friday,Phone,80036,N,0,yes,11.0,158.0,165.0,164.0
4273778,0,5696.38,44,8/21/2015,Saturday,Broker,50047,N,0,no,11.0,159.0,166.0,165.0
3105504,1,1774.55,33,3/19/2015,Wednesday,Phone,20135,N,1,yes,3.0,160.0,167.0,166.0
5745501,1,2094.33,44,2/2/2016,Monday,Broker,15017,N,1,yes,2.0,161.0,168.0,167.0
6377662,0,2939.05,62,6/16/2016,Saturday,Broker,15022,N,1,yes,6.0,162.0,169.0,168.0
4408140,0,7788.2,40,12/27/2016,Friday,Phone,80026,Y,0,no,12.0,163.0,170.0,169.0
5242867,0,1680.09,45,4/29/2015,Wednesday,Phone,85071,N,1,no,5.0,164.0,171.0,170.0
8106416,0,906.97,52,11/5/2016,Sunday,Online,50039,Y,0,yes,8.0,165.0,172.0,171.0
6011757,0,3473.22,32,8/15/2015,Saturday,Broker,50055,N,1,yes,12.0,166.0,173.0,172.0
8293047,0,1846.67,36,5/26/2016,Thursday,Phone,20136,N,1,yes,3.0,167.0,174.0,173.0
3974159,0,11078.17,50,10/11/2016,Tuesday,Broker,20117,N,0,yes,8.0,168.0,175.0,174.0
5095087,0,1756.95,26,5/25/2016,Monday,Broker,20104,N,1,no,10.0,169.0,176.0,175.0
4177462,1,5226.51,28,4/4/2015,Thursday,Broker,20112,Y,1,no,11.0,170.0,177.0,176.0
5663292,0,3197.49,45,3/27/2015,Sunday,Phone,80002,N,0,no,3.0,171.0,178.0,177.0
1606807,0,4648.18,39,9/2/2015,Monday,Broker,15012,Y,1,no,10.0,172.0,179.0,178.0
7566702,0,2480.89,48,10/7/2015,Monday,Phone,50054,Y,0,yes,5.0,173.0,180.0,179.0
8490424,0,2386.04,24,2/12/2016,Friday,Phone,15024,N,0,yes,11.0,174.0,181.0,180.0
5457145,0,610.17,48,4/20/2016,Sunday,Broker,20112,Y,1,yes,6.0,175.0,182.0,181.0
8777213,1,3865.09,43,12/6/2016,Tuesday,Broker,85019,N,1,yes,5.0,176.0,183.0,182.0
3261365,0,672.16,41,1/31/2015,Thursday,Online,85050,N,0,yes,7.0,177.0,184.0,183.0
3097259,0,609.18,44,1/27/2015,Saturday,Online,15012,Y,0,no,9.0,178.0,185.0,184.0
8336945,0,2758.33,22,7/14/2015,Tuesday,Online,80022,N,1,yes,3.0,179.0,186.0,185.0
9010037,0,3018.88,34,9/28/2015,Friday,Broker,20113,N,0,yes,1.0,180.0,187.0,186.0
3372360,0,2743.95,49,9/15/2016,Monday,Phone,20102,N,0,yes,2.0,181.0,188.0,187.0
4018709,0,686.92,31,7/30/2016,Monday,Broker,80102,N,0,yes,10.0,182.0,189.0,188.0
7926071,0,3805.83,33,7/15/2015,Monday,Online,15057,Y,0,yes,2.0,183.0,190.0,189.0
8258414,1,5953.58,34,1/18/2016,Tuesday,Broker,50048,Y,1,yes,3.0,184.0,191.0,190.0
9602487,0,4678.41,56,9/20/2015,Thursday,Broker,15001,Y,1,no,7.0,185.0,192.0,191.0
9019336,0,7049.69,43,6/22/2016,Friday,Broker,80007,N,1,yes,6.0,186.0,193.0,192.0
6796868,0,2223.16,40,5/3/2015,Tuesday,Online,85008,N,0,yes,10.0,187.0,194.0,193.0
4054615,1,390.71,38,5/15/2016,Sunday,Broker,15022,N,0,yes,10.0,188.0,195.0,194.0
4102306,0,3046.22,38,5/23/2015,Monday,Online,15022,Y,1,yes,12.0,189.0,196.0,195.0
3035503,1,695.89,48,7/18/2015,Thursday,Broker,20144,N,1,yes,9.0,190.0,197.0,196.0
6731385,0,3066.71,40,5/10/2016,Saturday,Broker,80017,N,0,yes,8.0,191.0,198.0,197.0
6826001,1,3918.79,21,9/19/2015,Sunday,Broker,20105,N,1,yes,7.0,192.0,199.0,198.0
5340373,0,5681.44,60,11/2/2015,Sunday,Phone,15017,N,0,yes,12.0,193.0,200.0,199.0
1107209,0,544.12,48,9/25/2016,Sunday,Broker,85062,Y,1,no,12.0,194.0,201.0,200.0
8248010,0,2663.93,51,4/19/2016,Tuesday,Broker,80013,N,1,yes,8.0,195.0,202.0,201.0
7707311,1,1352.12,35,12/16/2015,Friday,Broker,85038,N,0,yes,5.0,189.0,203.0,202.0
9216362,0,4379.29,45,9/15/2015,Sunday,Phone,80016,N,0,no,2.0,91.0,204.0,203.0
9193860,0,1837.48,23,2/3/2015,Thursday,Broker,85046,N,0,no,1.0,196.0,205.0,204.0
2855658,0,5059.97,33,5/5/2015,Friday,Broker,50048,N,1,yes,12.0,197.0,206.0,205.0
9720525,0,1432.98,24,10/3/2016,Tuesday,Phone,15034,N,0,yes,4.0,198.0,207.0,206.0
9723436,1,1984.76,33,12/28/2015,Saturday,Phone,15005,N,1,yes,3.0,199.0,208.0,207.0
9404973,0,1388.22,35,11/28/2016,Sunday,Broker,50048,Y,0,yes,11.0,200.0,209.0,208.0
2533157,0,973.01,37,8/4/2015,Sunday,Phone,85076,N,1,yes,2.0,36.0,210.0,209.0
8142125,1,3525.51,37,8/7/2016,Saturday,Phone,15009,Y,1,yes,11.0,142.0,211.0,210.0
8665792,1,7515.93,23,7/29/2015,Monday,Broker,20109,Y,0,yes,1.0,201.0,212.0,211.0
3263877,1,6624.25,26,11/9/2015,Thursday,Broker,20134,Y,1,no,7.0,202.0,213.0,212.0
5948636,1,5893.5,21,11/26/2016,Thursday,Broker,20163,N,0,no,8.0,203.0,214.0,213.0
3925883,0,1843.95,33,12/2/2016,Monday,Phone,20158,N,0,yes,1.0,204.0,215.0,214.0
6627868,0,3439.24,35,11/9/2015,Monday,Broker,20152,N,1,yes,10.0,205.0,216.0,215.0
9304707,0,5224.26,41,9/9/2015,Wednesday,Online,20109,Y,0,yes,11.0,206.0,217.0,216.0
7807613,0,565.8,39,8/2/2015,Sunday,Phone,50052,N,1,yes,8.0,207.0,218.0,217.0
6876171,0,5889.31,46,1/19/2015,Sunday,Phone,50009,Y,1,no,11.0,208.0,219.0,218.0
7970352,0,1013.91,55,8/16/2016,Tuesday,Broker,80024,N,1,yes,5.0,142.0,220.0,219.0
8430972,0,702.92,22,2/7/2015,Monday,Online,20151,N,1,yes,5.0,87.0,221.0,220.0
2576468,0,3760.41,34,5/6/2015,Thursday,Broker,20103,N,1,yes,3.0,209.0,222.0,221.0
8652940,1,5926.72,50,7/10/2015,Sunday,Online,85062,Y,0,no,12.0,210.0,223.0,222.0
4875524,0,2628.03,51,8/29/2016,Sunday,Broker,50052,Y,1,no,5.0,211.0,224.0,223.0
5233692,1,240.03,20,1/14/2016,Friday,Broker,15009,N,1,no,8.0,212.0,225.0,224.0
1039038,0,1079.93,55,6/1/2015,Wednesday,Broker,85027,Y,1,yes,12.0,213.0,226.0,225.0
8740554,0,2106.23,34,4/7/2016,Thursday,Broker,50043,N,1,no,10.0,214.0,227.0,226.0
5293158,0,2508.08,42,5/8/2015,Saturday,Broker,20103,Y,1,yes,3.0,215.0,228.0,227.0
7354774,1,3110.3,50,8/6/2015,Sunday,Online,20146,N,0,yes,10.0,216.0,229.0,228.0
7107486,0,2215.78,42,5/27/2015,Monday,Broker,80015,N,1,yes,8.0,217.0,230.0,229.0
8959802,0,1933.23,59,10/16/2015,Tuesday,Broker,15047,Y,1,yes,7.0,218.0,231.0,230.0
3604515,1,300.72,32,12/17/2015,Tuesday,Broker,15007,N,0,yes,7.0,219.0,232.0,231.0
8662674,1,509.79,39,2/11/2016,Sunday,Online,80022,N,1,no,12.0,220.0,233.0,232.0
4955151,0,542.16,30,1/8/2016,Tuesday,Broker,20152,Y,0,yes,2.0,221.0,234.0,233.0
5608247,0,1891.81,59,10/18/2015,Friday,Phone,15012,N,1,yes,3.0,222.0,235.0,234.0
4413137,0,3279.49,34,1/31/2016,Saturday,Phone,80101,N,1,yes,2.0,223.0,236.0,235.0
4510217,1,2835.3,31,12/21/2016,Saturday,Broker,85073,Y,0,no,11.0,224.0,237.0,236.0
9107045,1,5103.68,44,11/7/2015,Tuesday,Phone,85023,Y,1,yes,11.0,225.0,238.0,237.0
8212898,0,3080.39,49,1/18/2015,Tuesday,Broker,80038,N,1,yes,5.0,226.0,239.0,238.0
1979203,0,9576.51,47,12/29/2015,Monday,Broker,50011,N,1,yes,3.0,227.0,240.0,239.0
6076337,0,2373.51,27,6/9/2016,Friday,Phone,85077,N,1,yes,7.0,227.0,241.0,240.0
8586338,0,3114.1,16,5/16/2016,Wednesday,Phone,15009,Y,1,no,12.0,228.0,242.0,241.0
5246386,0,1975.59,60,10/16/2015,Saturday,Phone,50025,Y,1,yes,10.0,183.0,243.0,242.0
9790355,0,4483.94,52,4/4/2015,Tuesday,Broker,50035,Y,0,no,9.0,229.0,244.0,243.0
7691683,1,1968.51,34,8/5/2016,Tuesday,Broker,15057,Y,1,yes,11.0,230.0,245.0,244.0
5503331,0,919.2,44,11/17/2015,Tuesday,Broker,50005,N,1,yes,9.0,231.0,246.0,245.0
3751958,0,5068.39,48,2/24/2015,Tuesday,Broker,20122,Y,0,yes,6.0,43.0,247.0,246.0
6976464,1,1656.38,35,8/22/2015,Friday,Broker,80002,N,1,yes,10.0,232.0,248.0,247.0
9379580,0,1862.41,50,7/10/2016,Thursday,Phone,50008,N,0,no,4.0,233.0,249.0,248.0
2682673,0,762.61,30,4/17/2015,Monday,Broker,15012,N,1,no,9.0,49.0,250.0,249.0
3938604,0,4927.41,19,6/25/2015,Saturday,Broker,85077,Y,1,yes,4.0,234.0,251.0,250.0
1645499,0,330.01,36,9/11/2016,Saturday,Broker,85050,N,1,yes,7.0,235.0,252.0,251.0
