year_of_born,gender,age_of_DL,safety_rating,driver_key
1970,F,23,73,120
1986,M,25,98,121
1980,M,26,64,122
1982,M,23,70,123
1981,F,23,85,124
1986,F,26,68,125
1989,M,19,59,126
1968,F,23,72,127
1981,F,19,61,128
1991,F,18,89,129
1967,M,30,90,130
1979,F,24,50,131
1982,M,20,86,132
2001,M,20,66,133
1987,F,21,73,134
1997,M,21,26,135
1992,M,21,65,136
1988,M,25,54,137
1991,F,21,100,138
1997,M,16,100,139
1971,F,25,86,140
1977,F,27,79,141
1996,F,23,57,142
1979,M,18,98,143
1979,M,24,60,144
1984,M,25,73,145
1973,M,26,88,146
1967,M,24,70,147
1967,F,16,57,148
1999,F,23,70,149
1961,M,27,84,150
1994,M,21,71,151
1955,F,22,43,152
1963,F,28,67,153
1999,F,19,96,154
1994,F,23,66,155
1978,M,24,83,156
1995,M,25,37,157
1977,F,29,89,158
1978,M,18,100,159
1976,F,22,88,160
1979,F,19,67,161
1956,F,23,74,162
1973,F,16,87,163
1957,F,21,80,164
1985,F,22,79,165
1998,F,18,83,166
1983,M,23,63,167
1989,M,16,80,168
1985,M,20,72,169
1992,F,17,80,170
1983,F,22,100,171
1988,F,17,48,172
1971,F,27,68,173
1993,M,26,90,174
1972,M,25,95,175
1964,F,21,73,176
1985,F,16,72,177
1950,F,21,87,178
1996,F,19,73,179
1969,M,17,100,180
1985,M,23,61,181
1969,M,26,72,182
1972,F,25,88,183
1991,M,16,89,184
1978,M,24,94,185
1979,M,23,77,186
1986,M,16,50,187
1967,M,28,62,188
1955,M,21,90,189
1971,F,18,56,190
1998,M,25,67,191
1992,F,21,93,192
1995,M,16,66,193
1972,M,27,83,194
1991,M,23,73,195
1990,F,24,88,196
1985,M,21,65,197
1987,F,21,56,198
1982,F,19,66,199
1984,F,21,58,200
1970,M,23,71,201
1984,M,23,63,202
1984,M,19,88,203
1989,F,18,88,204
1969,M,21,85,205
1976,M,19,87,206
1989,F,19,56,207
1983,F,25,100,208
1973,F,19,56,209
1964,M,26,84,210
1974,F,20,76,211
2005,F,24,45,212
1985,F,29,57,213
1979,M,23,52,214
1988,M,25,100,215
1981,F,20,53,216
1991,F,22,71,217
1994,M,23,80,218
1961,M,23,69,219
1959,M,21,91,220
1981,M,22,100,221
1995,F,24,100,222
1976,M,17,54,223
1986,M,21,89,224
1983,F,26,72,225
1977,F,21,100,226
1977,M,22,85,227
1990,M,24,90,228
1983,F,24,66,229
1985,F,24,83,230
1973,F,21,56,231
1988,M,19,78,232
1979,F,23,86,233
1978,F,25,87,234
1982,F,29,96,235
1982,F,20,82,236
1972,F,17,83,237
1998,M,25,100,238
1969,M,22,77,239
2005,M,23,68,240
1962,F,27,74,241
1979,M,24,97,242
1983,F,23,69,243
1985,M,23,60,244
1999,F,18,71,245
2000,M,20,70,246
1975,M,22,100,247
1977,M,26,81,248
1973,M,26,87,249
1982,M,21,59,250
1966,F,21,63,251
1946,F,17,71,252
1974,F,21,85,253
1997,F,21,83,254
1989,M,30,71,255
1982,F,18,72,256
1972,F,25,51,257
1980,M,24,92,258
1994,M,20,53,259
1993,F,21,86,260
1971,M,22,74,261
1990,M,26,84,262
1984,F,19,91,263
1982,M,23,68,264
1966,F,24,73,265
1967,F,21,92,266
1975,M,24,74,267
1972,F,26,94,268
1973,F,24,70,269
1990,M,22,66,270
1991,M,19,90,271
1996,M,26,86,272
1994,F,30,89,273
1992,F,20,83,274
1994,F,16,94,275
1966,F,19,96,276
2002,M,17,68,277
1975,M,16,100,278
1981,F,22,86,279
1979,M,19,82,280
1988,M,27,67,281
1993,F,27,53,282
1976,F,26,62,283
1970,M,21,76,284
1959,F,16,97,285
1971,M,19,56,286
1982,M,25,65,287
1978,M,17,74,288
1974,F,21,74,289
1970,M,27,71,290
1966,M,25,85,291
1995,F,20,77,292
1996,M,18,85,293
1997,M,21,85,294
1972,M,25,91,295
1822,M,27,58,296
2001,M,22,52,297
1967,M,23,83,298
1987,M,22,85,299
1981,M,22,95,300
1979,M,24,76,301
1962,M,26,56,302
1982,F,27,88,303
1998,F,22,56,304
1971,F,29,98,305
1985,M,24,81,306
1975,F,20,74,307
1970,M,21,85,308
1985,M,26,71,309
1964,M,17,87,310
1975,F,20,79,311
1984,M,18,83,312
1984,F,19,85,313
1996,F,23,77,314
1976,F,17,62,315
1967,M,17,91,316
1989,M,18,78,317
1976,F,19,65,318
1973,F,21,61,319
1989,F,20,72,320
1980,M,19,68,321
1985,F,24,63,322
1976,F,24,100,323
1986,F,20,80,324
1991,F,29,79,325
1974,F,21,72,326
1994,M,26,75,327
1962,M,29,73,328
1988,M,18,76,329
1997,M,23,100,330
2002,F,21,48,331
1971,M,22,61,332
1983,M,18,64,333
1962,M,24,84,334
1983,M,24,72,335
1948,M,30,94,336
1968,M,20,57,337
1985,M,21,47,338
1966,M,25,91,339
1987,F,22,96,340
1993,M,18,75,341
1988,M,19,63,342
1977,M,24,93,343
1958,F,26,75,344
1962,M,28,53,345
1981,M,16,77,346
1996,F,26,77,347
1985,F,21,64,348
1988,F,16,71,349
1982,F,22,87,350
1981,M,19,83,351
1988,F,27,63,352
1992,M,22,89,353
1997,F,20,69,354
1960,F,19,71,355
1989,F,20,78,356
1966,F,24,65,357
1986,F,20,71,358
1990,M,21,61,359
1991,F,26,100,360
1997,M,22,91,361
1964,M,30,88,362
1989,F,26,72,363
1977,F,26,89,364
1978,M,23,86,365
1987,F,17,45,366
1995,F,19,65,367
1983,F,25,94,368
1985,F,25,58,369
1978,M,28,74,370
1978,M,16,53,371
1983,F,21,81,372
1979,F,22,91,373
1978,F,21,77,374
1983,M,22,56,375
1985,F,27,93,376
1980,F,24,80,377
1985,F,24,65,378
1971,M,21,75,379
1985,M,19,93,380
1980,F,20,69,381
1974,M,26,83,382
2003,F,17,80,383
1974,M,22,94,384
1980,M,24,60,385
1988,F,22,93,386
1997,F,23,99,387
1993,F,28,90,388
1994,F,27,91,389
1981,F,16,77,390
1989,M,23,88,391
1981,F,22,58,392
1978,F,26,78,393
1988,M,25,80,394
1970,F,27,71,395
1982,M,23,72,396
1969,F,16,59,397
1999,M,22,80,398
1964,M,19,92,399
1987,F,17,61,400
1978,F,22,50,401
1974,M,26,70,402
1980,F,17,70,403
1984,M,22,75,404
1994,F,23,70,405
1975,F,18,60,406
1983,M,27,91,407
1975,F,22,82,408
1974,M,20,73,409
1963,F,27,43,410
1989,M,20,71,411
2002,F,24,40,412
1931,M,20,66,413
1980,M,22,71,414
1983,F,18,81,415
1971,M,20,80,416
1973,M,23,79,417
1974,F,19,82,418
1990,M,21,70,419
1982,F,26,39,420
1982,F,20,88,421
1978,F,23,76,422
1986,F,21,64,423
2001,M,24,58,424
1983,F,22,65,425
1985,F,21,100,426
1986,M,30,91,427
1985,F,22,100,428
1964,F,26,78,429
1987,M,26,74,430
1983,M,21,89,431
1965,M,25,88,432
1984,F,22,76,433
1984,F,23,63,434
1978,F,21,63,435
1986,M,20,65,436
1977,M,27,63,437
1967,M,16,84,438
1989,M,25,82,439
1962,F,23,83,440
1965,M,26,95,441
1994,M,22,92,442
1980,F,28,83,443
1971,M,22,62,444
1990,M,17,98,445
2002,M,18,51,446
1964,F,19,94,447
1973,M,23,60,448
1987,F,22,81,449
1964,F,19,65,450
1992,F,30,72,451
1983,F,23,73,452
1981,M,25,83,453
1969,F,26,82,454
1957,F,28,73,455
1981,F,20,59,456
1957,M,26,67,457
1984,F,21,73,458
1993,M,24,65,459
1943,M,19,100,460
1985,F,21,85,461
1962,F,23,90,462
1950,M,25,89,463
1994,M,20,71,464
1954,F,20,90,465
1974,M,28,54,466
1972,M,18,88,467
1978,F,22,81,468
1968,F,21,94,469
1979,M,21,85,470
1978,M,19,62,471
1981,M,28,78,472
1961,F,19,100,473
1960,F,17,66,474
1956,M,18,68,475
1970,F,22,82,476
1976,M,22,51,477
1992,F,22,73,478
1980,F,19,66,479
1979,M,18,67,480
1998,M,18,51,481
1963,M,22,50,482
1976,M,23,36,483
1975,F,20,73,484
1981,M,21,85,485
1973,M,22,80,486
1960,F,16,78,487
1997,M,19,71,488
1985,M,23,87,489
1978,M,22,71,490
1975,M,16,81,491
1987,F,26,82,492
1974,F,19,85,493
1944,F,21,55,494
2003,F,17,54,495
1992,M,26,86,496
1987,M,22,90,497
1988,M,21,73,498
1991,F,24,54,499
1989,F,16,80,500
1991,M,25,78,501
1970,M,22,47,502
1989,F,24,57,503
1998,M,25,83,504
1968,M,16,70,505
1997,M,23,81,506
1974,M,26,43,507
1993,M,25,65,508
2003,M,16,64,509
1999,F,22,79,510
1986,M,17,56,511
1981,M,21,67,512
1968,F,22,73,513
1992,F,25,69,514
1999,F,20,68,515
1990,F,21,80,516
1970,F,19,75,517
1963,F,25,88,518
1995,F,20,58,519
1997,F,27,73,520
2001,F,24,93,521
1973,F,20,91,522
1992,M,20,78,523
1999,M,22,84,524
1969,F,23,79,525
1991,F,18,68,526
1981,F,17,74,527
1996,F,23,70,528
1976,M,18,87,529
1998,M,20,100,530
1991,M,26,97,531
1975,F,25,82,532
1951,M,19,85,533
1986,M,25,100,534
1979,M,31,92,535
1998,M,24,70,536
1976,F,22,77,537
1960,M,19,85,538
1960,M,27,93,539
1995,F,20,82,540
1973,M,20,68,541
1996,M,21,87,542
1971,M,21,80,543
1994,M,23,77,544
1981,M,20,58,545
1968,F,25,51,546
1997,F,19,85,547
2004,F,16,95,548
1993,F,21,90,549
1964,F,23,80,550
1986,M,22,85,551
1991,M,18,80,552
2003,F,19,80,553
1988,F,26,86,554
1962,F,20,45,555
1966,F,23,68,556
1995,F,16,62,557
1998,F,19,63,558
1962,F,18,78,559
1990,M,28,61,560
1979,M,24,70,561
1980,M,24,70,562
1972,F,19,73,563
1985,M,21,53,564
1991,F,21,93,565
1991,F,26,76,566
1949,M,24,90,567
1980,M,24,69,568
1990,F,22,73,569
1972,F,24,75,570
1985,F,21,33,571
1979,F,26,62,572
1968,F,31,68,573
1985,M,20,65,574
2003,F,16,91,575
1983,F,25,81,576
1962,F,27,91,577
1992,M,20,89,578
1989,F,23,83,579
1995,F,16,100,580
1986,M,24,66,581
1983,M,26,74,582
1978,M,24,70,583
1988,M,20,49,584
1997,M,18,65,585
1985,M,19,92,586
1994,F,26,37,587
1992,F,20,56,588
1976,F,22,99,589
1981,M,23,79,590
1989,M,23,76,591
1986,M,19,66,592
1979,M,24,58,593
1972,F,28,87,594
1988,F,23,72,595
1995,M,21,64,596
1989,M,22,70,597
1989,M,22,62,598
1981,F,19,65,599
1975,M,24,63,600
1975,F,24,73,601
1991,M,20,52,602
1999,M,23,89,603
1965,F,21,40,604
1990,M,28,84,605
1959,M,25,48,606
1983,M,18,76,607
1978,F,16,69,608
1978,M,26,57,609
1982,F,20,69,610
1980,F,26,69,611
1983,M,17,84,612
2000,M,16,83,613
1978,F,25,49,614
1982,M,22,59,615
1976,F,20,63,616
1979,F,19,80,617
1949,F,20,67,618
1993,F,18,76,619
1982,F,18,74,620
1992,F,16,57,621
1996,M,24,86,622
1995,F,18,47,623
1961,M,24,81,624
1971,F,19,74,625
1956,M,24,94,626
1980,M,23,59,627
1996,M,22,80,628
1982,F,22,63,629
1978,F,24,100,630
1990,F,22,64,631
1984,M,24,80,632
1987,F,24,71,633
1982,M,24,47,634
1991,M,20,82,635
1973,M,22,77,636
1991,F,21,70,637
1960,M,22,82,638
1985,M,23,78,639
1973,M,25,96,640
1987,F,22,93,641
1986,M,27,88,642
1991,M,22,80,643
1977,F,19,75,644
1975,F,26,100,645
1954,F,21,74,646
1964,F,22,88,647
1979,F,25,80,648
1980,M,21,64,649
1995,M,23,74,650
1976,M,16,83,651
1979,M,17,70,652
1982,F,28,90,653
1971,F,26,68,654
1992,M,28,66,655
1982,F,27,72,656
1966,M,22,67,657
1978,M,19,63,658
1976,F,18,79,659
1991,M,28,79,660
1991,M,22,54,661
1972,F,26,82,662
1974,M,28,61,663
1962,F,21,72,664
1990,M,21,95,665
1965,F,20,78,666
1992,M,23,74,667
1978,F,23,67,668
1964,F,19,70,669
1986,F,27,64,670
1964,M,22,68,671
1984,M,23,88,672
1945,F,18,60,673
1978,M,24,93,674
2000,M,20,73,675
1983,F,21,62,676
1982,M,22,68,677
1996,M,18,92,678
1987,M,26,76,679
1978,F,22,68,680
1981,F,26,67,681
2002,M,27,92,682
1989,F,23,94,683
1962,F,27,87,684
1981,F,26,100,685
1983,M,20,51,686
1984,F,23,86,687
1975,F,20,67,688
1982,M,22,65,689
1961,M,16,81,690
1992,M,18,100,691
1974,M,21,58,692
1989,F,19,69,693
1979,F,24,100,694
1988,M,25,72,695
1982,M,17,72,696
1948,F,20,87,697
1977,F,16,91,698
1985,F,17,100,699
1990,M,18,52,700
1962,F,21,92,701
1987,M,24,89,702
1963,F,19,78,703
1968,F,20,78,704
2001,M,24,93,705
1992,M,18,71,706
1993,F,22,29,707
1990,M,21,78,708
1982,M,21,82,709
1987,M,20,60,710
1984,M,23,42,711
1988,M,25,59,712
1981,M,19,67,713
1989,M,25,63,714
1988,M,22,80,715
2000,F,21,76,716
1996,F,25,64,717
1984,M,22,77,718
1985,F,20,65,719
1987,M,23,84,720
1968,M,26,64,721
1992,M,21,69,722
1967,M,20,98,723
1968,M,20,88,724
1992,F,24,85,725
1975,F,17,91,726
1989,M,26,80,727
1993,M,27,77,728
2001,M,16,59,729
1974,M,22,80,730
1982,F,23,73,731
1999,M,20,70,732
1979,M,28,60,733
1987,F,24,85,734
1979,M,18,69,735
1991,F,21,80,736
1990,F,18,57,737
1983,F,23,71,738
1958,F,24,51,739
2001,F,18,96,740
1974,F,27,84,741
1984,F,16,45,742
1970,M,25,81,743
1979,M,22,92,744
1965,M,21,79,745
1976,F,21,81,746
1987,F,27,83,747
1957,M,17,61,748
1961,F,22,80,749
1984,M,20,78,750
1978,M,21,75,751
1992,F,17,91,752
1977,F,19,89,753
1970,M,21,82,754
1979,F,17,76,755
1968,M,21,95,756
1977,F,22,92,757
2003,F,25,56,758
1985,F,22,87,759
1968,F,25,87,760
1976,M,19,100,761
1990,F,21,100,762
1974,F,19,87,763
1992,M,17,77,764
1973,F,25,55,765
1997,F,23,75,766
1997,F,20,72,767
1987,F,26,88,768
1983,M,25,88,769
1986,M,28,87,770
1975,M,24,45,771
1972,M,16,79,772
1990,F,21,68,773
1979,M,20,76,774
1983,M,28,63,775
1996,M,21,61,776
1983,F,29,94,777
1990,M,25,70,778
1973,M,18,78,779
1971,F,21,64,780
1985,F,25,54,781
1992,F,17,54,782
1968,F,26,69,783
1986,M,25,91,784
1992,F,25,81,785
1995,F,23,78,786
1996,M,26,55,787
1989,M,27,65,788
1990,F,23,72,789
1977,F,25,74,790
1987,M,24,82,791
1993,M,25,72,792
1994,M,21,94,793
1980,M,21,60,794
1999,F,22,63,795
1988,F,16,43,796
1974,M,19,68,797
1967,M,26,94,798
1966,F,20,94,799
1979,M,25,71,800
1982,M,20,89,801
1970,F,25,84,802
1989,M,23,100,803
1984,M,22,80,804
1989,M,18,71,805
1967,F,23,100,806
1975,M,17,100,807
1963,M,29,51,808
1961,M,21,78,809
1982,M,25,64,810
1979,F,20,85,811
1988,M,16,93,812
1981,M,21,68,813
1962,F,19,66,814
1973,F,25,56,815
1989,F,25,79,816
1981,F,28,88,817
1981,F,17,71,818
1966,M,22,64,819
1981,F,23,99,820
1969,F,21,86,821
1968,F,21,84,822
1977,F,19,51,823
1977,F,25,72,824
1974,M,21,82,825
1994,F,22,81,826
1970,M,19,76,827
1979,F,21,74,828
1983,M,21,68,829
1991,M,21,78,830
1984,F,23,47,831
1996,F,25,100,832
1960,M,19,100,833
1989,M,27,72,834
1990,M,27,82,835
1972,F,21,72,836
1962,M,20,62,837
1982,M,23,44,838
1980,M,24,83,839
1993,M,20,84,840
1992,M,22,85,841
1993,M,17,68,842
1968,F,20,75,843
1973,M,29,74,844
1998,M,16,60,845
1972,M,23,63,846
1993,F,20,60,847
1985,F,24,91,848
1978,F,22,70,849
1981,F,24,76,850
1968,M,22,72,851
1988,M,23,63,852
1988,M,19,89,853
1984,F,16,70,854
1991,F,26,71,855
1996,M,16,42,856
1992,M,22,70,857
1976,F,25,86,858
1986,F,20,58,859
1973,M,26,64,860
2006,F,22,79,861
1978,M,22,84,862
1970,M,22,100,863
1942,F,22,46,864
1994,F,22,62,865
1982,F,17,54,866
1988,F,18,69,867
1974,M,16,62,868
1984,M,24,71,869
1986,M,19,80,870
1985,M,20,68,871
2002,F,19,65,872
1979,F,19,85,873
1979,M,23,90,874
1985,M,21,79,875
1979,F,26,84,876
1995,M,22,52,877
1982,M,19,100,878
1991,M,24,64,879
1999,M,27,67,880
1979,M,16,52,881
1985,M,23,63,882
1982,F,16,91,883
1981,F,25,83,884
1981,M,19,80,885
1993,F,21,58,886
1976,F,20,59,887
1980,F,16,66,888
1971,M,22,77,889
1988,M,24,72,890
1963,M,16,71,891
1983,M,22,60,892
1971,M,26,88,893
1975,M,24,53,894
1989,M,23,94,895
1987,F,20,74,896
1991,F,16,82,897
1971,M,26,67,898
1988,F,21,64,899
1980,F,22,72,900
1975,M,27,84,901
1977,F,22,76,902
1977,M,24,77,903
1991,M,18,68,904
1986,F,23,56,905
1990,F,23,81,906
1987,M,17,98,907
1987,M,19,99,908
1970,M,21,94,909
1984,F,22,77,910
1986,F,16,74,911
1961,F,17,54,912
1992,M,18,88,913
1985,M,21,77,914
1960,F,23,85,915
1963,F,19,85,916
1974,M,23,100,917
1978,F,23,80,918
1974,F,23,88,919
1979,M,22,69,920
1994,M,26,99,921
1959,F,24,72,922
1996,M,25,78,923
1966,F,19,97,924
1985,M,25,90,925
1970,F,24,72,926
1993,F,20,84,927
1978,M,24,100,928
1981,M,30,59,929
1981,F,20,65,930
1986,F,16,100,931
1970,F,26,32,932
1973,F,26,78,933
1965,F,19,73,934
1978,M,22,76,935
1970,F,23,78,936
1989,F,25,87,937
1969,F,24,88,938
1972,M,20,100,939
1981,M,24,78,940
1978,M,22,83,941
1978,F,22,51,942
1970,F,23,96,943
1976,F,25,80,944
1980,M,18,61,945
1980,F,21,72,946
1998,M,26,72,947
1978,M,21,96,948
1984,M,21,75,949
1975,F,25,73,950
1967,F,27,62,951
1999,F,22,73,952
1979,F,24,70,953
1982,M,25,93,954
1988,F,20,45,955
1985,F,21,55,956
1974,M,18,75,957
1984,F,22,64,958
1967,F,20,88,959
1986,F,19,88,960
1998,F,21,82,961
1966,F,20,71,962
1975,M,22,56,963
1988,M,26,62,964
1992,F,16,84,965
1976,F,23,75,966
1985,F,20,69,967
1987,M,18,64,968
1989,F,21,100,969
1994,F,19,74,970
1968,F,16,76,971
1984,F,23,62,972
1977,M,24,91,973
1977,F,23,100,974
1986,F,18,58,975
1985,M,20,59,976
1992,M,18,60,977
1976,M,18,86,978
1984,M,25,75,979
1976,F,22,91,980
1975,M,24,54,981
1987,M,19,47,982
1991,M,26,61,983
1978,M,23,58,984
1985,M,18,89,985
1986,M,21,64,986
1975,F,25,58,987
1989,F,24,73,988
1996,F,16,45,989
1976,F,19,89,990
1774,M,23,99,991
1999,F,30,47,992
1978,M,27,55,993
1994,M,19,70,994
1990,M,28,92,995
1994,F,23,63,996
1988,F,22,70,997
1940,F,25,82,998
1990,M,21,59,999
2005,M,20,65,1000
1979,F,22,72,1001
1973,F,26,52,1002
1972,M,21,91,1003
1963,M,26,98,1004
2003,M,22,91,1005
1991,F,23,82,1006
1970,M,20,100,1007
1940,F,19,94,1008
1940,F,27,50,1009
1990,M,19,70,1010
1975,M,28,61,1011
1986,M,17,75,1012
1978,F,20,94,1013
1959,F,21,38,1014
1964,F,23,66,1015
1995,F,24,86,1016
1992,F,17,60,1017
1968,M,24,75,1018
1989,F,24,81,1019
1963,F,22,68,1020
1973,F,18,73,1021
1980,F,25,98,1022
1984,F,26,87,1023
1995,M,27,71,1024
1984,M,29,63,1025
1982,F,20,60,1026
1978,M,19,91,1027
1982,M,21,81,1028
1976,M,28,73,1029
1963,M,19,67,1030
1995,M,25,67,1031
1991,F,23,74,1032
1979,F,20,61,1033
1978,M,20,55,1034
1988,M,23,77,1035
1983,F,18,83,1036
1968,M,22,62,1037
1991,F,23,65,1038
1977,F,19,76,1039
1974,F,27,100,1040
1978,F,20,66,1041
1968,M,26,88,1042
1996,F,26,83,1043
1978,M,22,75,1044
1975,F,25,64,1045
1999,F,17,64,1046
1992,F,19,57,1047
1992,F,22,56,1048
1975,F,17,94,1049
1980,M,23,75,1050
2002,F,25,91,1051
1980,M,19,69,1052
1981,F,16,48,1053
1995,M,20,62,1054
1988,M,17,62,1055
1982,M,21,71,1056
1971,M,18,91,1057
1971,M,17,94,1058
1992,F,22,84,1059
1997,F,17,56,1060
1963,F,24,75,1061
1986,M,21,85,1062
1995,F,19,60,1063
1996,M,25,88,1064
1977,M,24,59,1065
1981,F,23,70,1066
1987,M,26,85,1067
1997,F,19,68,1068
1997,M,23,87,1069
1988,M,22,71,1070
1985,F,21,75,1071
1978,F,21,75,1072
1977,M,23,80,1073
1974,M,19,70,1074
1968,F,25,88,1075
1998,F,25,73,1076
1990,M,22,72,1077
1990,M,19,66,1078
2005,F,24,51,1079
1985,M,23,93,1080
1996,M,21,62,1081
1983,F,21,67,1082
1976,F,21,87,1083
1970,F,23,88,1084
1977,F,22,74,1085
1964,F,26,69,1086
1961,M,23,74,1087
1971,M,16,87,1088
1989,F,22,81,1089
1985,M,22,55,1090
1999,F,20,54,1091
1989,F,16,58,1092
1979,F,25,53,1093
1984,M,21,72,1094
1971,M,23,76,1095
1977,F,20,98,1096
1985,F,23,55,1097
1979,F,20,86,1098
1992,M,21,68,1099
1986,M,21,71,1100
1976,M,20,85,1101
1992,F,25,53,1102
1983,F,23,49,1103
1987,F,23,78,1104
1969,M,20,65,1105
1982,M,21,83,1106
1978,M,22,90,1107
2002,F,20,77,1108
1986,F,19,78,1109
1987,F,23,97,1110
1993,M,19,82,1111
1984,M,22,90,1112
1990,F,20,65,1113
1997,F,20,96,1114
2001,F,22,80,1115
1977,F,20,56,1116
1978,F,21,43,1117
1935,F,24,66,1118
1997,M,23,59,1119
1999,M,25,69,1120
1969,F,23,76,1121
1977,F,23,83,1122
1958,M,25,63,1123
1996,M,22,88,1124
1989,F,22,66,1125
1971,M,21,89,1126
1982,M,21,67,1127
1993,F,20,83,1128
1975,M,18,71,1129
1993,F,28,73,1130
1940,F,26,51,1131
1979,F,28,39,1132
1991,F,28,99,1133
1992,M,22,66,1134
2001,M,18,61,1135
1967,M,16,80,1136
1984,F,20,78,1137
1976,F,25,59,1138
2004,F,19,80,1139
1984,M,29,90,1140
1962,M,24,83,1141
1969,M,23,94,1142
1985,F,24,94,1143
1993,M,18,59,1144
1985,F,16,66,1145
1989,F,21,59,1146
1974,M,18,95,1147
1962,M,23,48,1148
1973,F,17,63,1149
1964,F,31,75,1150
1998,F,19,64,1151
1978,M,19,78,1152
1970,F,22,84,1153
1976,M,20,59,1154
1995,F,23,83,1155
1985,F,25,99,1156
1986,F,19,59,1157
1986,F,29,76,1158
1993,M,22,70,1159
1952,F,21,76,1160
2003,F,19,58,1161
1943,M,19,68,1162
1988,M,22,61,1163
1981,F,24,71,1164
1997,M,27,71,1165
1978,F,26,63,1166
1975,F,22,66,1167
1987,M,24,84,1168
1967,F,19,56,1169
1999,M,22,73,1170
1991,F,24,84,1171
1989,F,27,82,1172
1977,M,22,76,1173
2005,F,17,79,1174
1985,F,24,77,1175
1987,M,25,69,1176
1980,F,17,100,1177
2001,M,26,64,1178
1975,M,22,88,1179
1972,M,28,59,1180
1983,M,22,82,1181
1983,M,18,100,1182
1969,F,21,50,1183
1978,M,18,66,1184
1976,M,25,84,1185
1983,M,24,67,1186
1988,F,22,69,1187
1970,M,24,86,1188
1977,F,25,68,1189
1975,M,25,64,1190
1970,M,16,74,1191
1968,M,18,65,1192
1968,F,18,100,1193
1987,M,18,82,1194
1982,F,19,75,1195
1964,F,21,85,1196
1991,F,20,60,1197
1974,M,20,100,1198
1953,M,17,52,1199
1967,M,32,77,1200
1967,M,23,76,1201
1969,F,16,52,1202
1980,F,22,73,1203
1960,M,20,93,1204
1993,M,20,52,1205
1966,M,25,45,1206
1991,M,26,72,1207
1982,M,21,51,1208
1965,F,19,60,1209
1980,M,25,100,1210
1999,M,19,67,1211
1996,F,18,82,1212
1982,M,17,85,1213
1986,M,18,72,1214
1962,F,25,77,1215
1994,M,24,86,1216
1984,F,21,78,1217
1994,M,22,70,1218
1973,F,16,92,1219
1991,F,23,90,1220
1965,M,20,54,1221
1995,F,22,60,1222
1970,F,22,73,1223
1963,M,23,91,1224
1953,M,16,67,1225
1975,F,21,65,1226
1978,M,24,86,1227
1989,F,29,84,1228
1996,F,29,59,1229
1977,F,20,52,1230
1978,M,26,74,1231
1992,M,16,98,1232
1973,M,26,85,1233
1976,F,18,71,1234
1992,M,18,91,1235
1969,F,24,80,1236
1987,F,26,94,1237
1991,M,17,87,1238
1963,M,22,57,1239
1975,F,23,65,1240
1992,M,17,51,1241
1986,F,22,69,1242
1951,F,21,71,1243
1987,M,22,68,1244
1981,F,23,94,1245
