subrogation,claim_number,year_of_born,gender,email_or_tel_available,safety_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,vehicle_made_year,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,age_of_DL,accident_type,in_network_bodyshop,vehicle_mileage
0,2072654,1989,M,1,64,93128,1,0,Rent,50025,3/2/2016,Sunday,Local,0,Y,35,Broker,0,2556.5,2027,Medium,38478.45129,black,13849.73483,17,single_car,no,130582
1,8683367,1983,M,1,93,73089,1,0,Own,15019,7/18/2016,Sunday,Parking Area,0,N,27,Phone,1,4975.84,2022,Large,35067.39625,white,5892.891087,24,multi_vehicle_clear,yes,500
0,5262278,1998,M,1,87,33574,1,1,Rent,20136,1/12/2015,Wednesday,Parking Area,11,N,41,Phone,1,2890.6,2023,Large,15000,silver,24443.95635,25,single_car,no,95790
1,1178533,1954,F,1,77,41776,1,0,Rent,50041,8/28/2016,Tuesday,Parking Area,6,N,27,Phone,0,3797.13,2025,Compact,15000,white,11279.2113,22,multi_vehicle_unclear,yes,77825
0,4737162,1996,F,1,69,83408,1,1,Own,15001,5/24/2016,Tuesday,Unknown,8,N,46,Broker,0,3077.32,2023,Compact,36014.87982,silver,28755.61983,21,single_car,yes,63721
1,5926506,1981,M,1,80,90598,0,0,Rent,50037,2/28/2016,Saturday,Highway/Intersection,0,Y,32,Broker,1,4039.92,2024,Medium,15000,black,15610.0752,26,multi_vehicle_unclear,yes,87792
0,3504724,1971,M,1,49,30015,1,1,Rent,15021,7/25/2015,Friday,Highway/Intersection,0,N,57,Phone,0,6605.45,2024,Medium,15000,blue,31858.79469,19,multi_vehicle_clear,yes,50471
1,3557520,1964,M,0,91,34834,0,1,Own,85063,2/9/2016,Saturday,Unknown,17,Y,29,Broker,1,299.34,2021,Compact,15000,gray,38349.07565,22,multi_vehicle_unclear,no,62812
0,5268113,1969,M,0,83,30015,1,1,Own,85027,9/10/2016,Wednesday,Unknown,0,N,41,Online,1,1012.91,2016,Compact,15000,black,40119.57735,24,multi_vehicle_clear,yes,62038
0,4181033,1994,F,1,72,59338,1,0,Rent,85010,7/12/2015,Friday,Local,0,N,47,Broker,1,4796.72,2026,Large,15000,white,27487.43847,20,multi_vehicle_clear,no,73291
1,4641568,1993,F,1,85,124993,0,1,Rent,15010,4/8/2015,Wednesday,Highway/Intersection,0,Y,28,Broker,0,2177.05,2022,Large,24810.1869,silver,65010.55193,26,multi_vehicle_clear,no,117344
1,6270866,1991,M,0,49,30015,0,0,Own,50013,5/6/2016,Thursday,Unknown,2,Y,22,Phone,1,1579.24,2023,Compact,15000,blue,45311.1722,26,multi_vehicle_unclear,yes,77860
1,7095983,1990,M,0,74,30015,0,1,Own,50049,5/6/2016,Saturday,Highway/Intersection,0,N,30,Phone,1,621.37,2027,Large,15000,silver,21938.15711,21,multi_vehicle_clear,yes,76068
0,3269266,1977,M,0,77,33114,1,0,Own,50021,5/14/2016,Friday,Parking Area,0,N,37,Broker,1,2106.23,2027,Medium,20265.11076,red,24179.57849,27,multi_vehicle_unclear,yes,134366
0,8933853,1972,F,0,80,65041,0,0,Own,50031,10/13/2016,Sunday,Local,0,N,54,Broker,1,2154.44,2013,Large,15000,red,9360.960445,24,single_car,no,67548
0,5153898,1976,M,1,51,59899,1,1,Rent,20110,3/2/2015,Tuesday,Unknown,0,N,34,Broker,1,3692.56,2014,Compact,40457.07102,other,52515.00377,21,multi_vehicle_clear,no,90245
0,4386110,2006,M,1,89,58182,0,1,Rent,50040,8/5/2015,Saturday,Highway/Intersection,0,Y,39,Phone,1,4191.37,2019,Medium,15000,white,21427.70829,22,multi_vehicle_unclear,yes,65090
0,7705790,1994,M,1,89,65933,1,1,Rent,50002,5/22/2016,Tuesday,Parking Area,0,Y,39,Phone,1,15339.46,2026,Large,16523.33672,other,14559.54872,18,multi_vehicle_unclear,yes,80937
0,7630101,1975,F,1,74,33414,1,0,Own,85010,1/5/2015,Thursday,Local,0,N,32,Broker,0,1212.01,2026,Medium,23185.71262,white,21281.58505,18,multi_vehicle_unclear,yes,64078
1,5929193,1979,M,0,93,30015,0,1,Rent,85009,8/12/2016,Sunday,Highway/Intersection,0,N,31,Broker,1,3903.09,2027,Compact,62225.3898,silver,38022.1988,16,multi_vehicle_clear,yes,75134
0,5622385,1981,F,0,63,44684,0,1,Own,20120,11/20/2016,Wednesday,Highway/Intersection,15,Y,41,Phone,1,4033.75,2022,Large,15000,white,17997.82428,23,multi_vehicle_clear,yes,36822
0,8787634,1964,F,1,71,40573,1,1,Rent,20156,11/30/2016,Friday,Unknown,16,N,36,Phone,0,13801.43,2026,Large,61253.596,gray,15456.72841,18,single_car,yes,139212
0,4839468,1993,F,0,75,33241,1,0,Rent,80047,12/12/2016,Friday,Local,17,Y,40,Online,1,2710.9,2021,Medium,15000,black,15445.70337,27,multi_vehicle_clear,yes,65908
0,6336467,1983,M,1,80,60717,1,1,Rent,20135,6/15/2015,Monday,Local,0,Y,41,Phone,1,1829.07,2024,Compact,15000,gray,13909.34063,23,multi_vehicle_clear,yes,93359
1,2486197,1969,M,1,70,60724,1,0,Rent,20148,7/27/2016,Monday,Highway/Intersection,1,N,26,Broker,1,2918.1,2019,Large,34579.69713,gray,14904.26863,22,multi_vehicle_clear,yes,148833
0,3986536,1975,M,1,86,81584,1,1,Rent,50029,1/6/2016,Wednesday,Parking Area,16,Y,46,Phone,0,3123.23,2025,Compact,15000,silver,22104.30213,19,single_car,no,18941
1,1132898,1985,F,0,100,124993,1,1,Rent,80108,2/29/2016,Tuesday,Local,17,N,40,Broker,0,18557.22,2024,Compact,48458.19825,other,14886.60456,20,multi_vehicle_unclear,yes,112375
1,7448479,1984,F,1,87,30015,1,1,Own,20118,6/5/2015,Tuesday,Local,13,N,45,Broker,0,6777.91,2024,Compact,15000,blue,29501.4245,17,multi_vehicle_unclear,yes,77872
0,9234723,1959,F,0,98,124993,1,1,Own,50039,6/11/2015,Thursday,Local,0,N,48,Broker,1,1342.81,2023,Large,38130.00062,blue,29600.85729,23,multi_vehicle_unclear,yes,81159
0,6407493,1991,M,0,90,124993,1,0,Own,15003,3/14/2016,Tuesday,Highway/Intersection,16,Y,28,Broker,1,1676.9,2021,Large,15000,red,29544.93028,22,multi_vehicle_unclear,yes,81056
1,9237508,1990,M,0,85,37557,1,0,Own,20153,6/18/2016,Monday,Local,0,Y,34,Phone,0,2032.8,2022,Large,26663.68734,blue,48841.46829,27,multi_vehicle_unclear,yes,109978
0,6327745,1992,F,1,84,124993,0,0,Rent,85045,6/24/2015,Thursday,Highway/Intersection,3,N,29,Broker,0,3853.38,2027,Medium,18787.60302,blue,14021.51265,19,multi_vehicle_clear,yes,99804
0,5030388,1997,M,1,73,30015,1,0,Own,15001,12/25/2015,Saturday,Unknown,0,N,33,Phone,0,1164.26,2025,Medium,75272.24485,blue,12714.91953,21,multi_vehicle_unclear,yes,76625
0,5811235,1985,F,1,81,47554,1,0,Rent,80022,10/12/2016,Saturday,Unknown,2,N,52,Broker,1,1085.03,2024,Compact,15000,red,35989.88679,21,single_car,yes,75121
1,2110843,1980,M,0,100,30015,0,1,Rent,15004,11/23/2016,Friday,Parking Area,0,Y,43,Broker,1,13561.32,2026,Medium,15000,red,6911.881089,22,multi_vehicle_clear,no,64636
0,1462884,1987,M,1,76,124993,1,0,Own,50012,11/11/2015,Friday,Parking Area,3,N,22,Broker,0,1603.27,2016,Compact,15000,silver,26179.59103,23,multi_vehicle_unclear,yes,86250
1,9596396,1979,M,1,97,50604,1,0,Rent,80022,5/26/2015,Friday,Local,1,Y,26,Phone,0,2278.43,2023,Large,48974.15589,silver,9581.066287,25,multi_vehicle_unclear,yes,29465
1,8846842,1988,M,1,74,30015,0,1,Own,20131,7/3/2015,Sunday,Unknown,0,N,36,Broker,1,2438.49,2026,Large,15000,white,14098.28979,22,multi_vehicle_clear,yes,97818
1,7820750,1982,M,1,71,42423,1,1,Own,50022,10/25/2015,Thursday,Local,5,N,45,Phone,1,3416.29,2022,Compact,55460.28395,gray,26830.41098,24,multi_vehicle_clear,yes,110836
0,2054223,1981,F,1,73,30951,0,1,Rent,15038,10/31/2015,Tuesday,Highway/Intersection,0,N,36,Phone,1,8241.5,2026,Medium,43299.51413,silver,18844.80199,24,multi_vehicle_unclear,yes,55500
0,1541514,1972,M,1,60,108873,1,0,Rent,20105,5/6/2016,Monday,Highway/Intersection,0,Y,53,Broker,0,1831.19,2025,Large,18594.35513,gray,15690.59166,16,single_car,no,35344
0,4809876,1998,F,1,58,41595,0,1,Own,80016,8/29/2015,Thursday,Parking Area,0,N,42,Online,1,996.23,2023,Large,44727.17374,silver,18594.74082,17,multi_vehicle_unclear,no,61509
1,7330135,1992,F,1,99,54048,1,0,Rent,15026,6/14/2016,Sunday,Unknown,14,Y,33,Phone,0,1908.67,2027,Medium,15000,gray,28890.82046,19,multi_vehicle_unclear,yes,81269
0,7014924,1955,M,1,60,91508,1,1,Rent,80002,7/2/2016,Friday,Highway/Intersection,5,N,64,Phone,1,1666.73,2022,Large,55543.66641,red,23217.73281,19,multi_vehicle_clear,no,104173
0,4175434,1998,M,1,86,48569,1,1,Rent,20122,1/8/2015,Sunday,Unknown,0,N,45,Broker,1,3011.55,2022,Medium,44820.54681,white,32044.8846,21,multi_vehicle_unclear,yes,57917
1,7570764,1992,F,0,63,55776,0,1,Own,50023,4/8/2016,Monday,Local,14,Y,44,Phone,1,2923.09,2018,Medium,15000,silver,20120.82374,23,multi_vehicle_clear,no,65229
0,7993275,1987,F,1,75,124993,1,1,Rent,15046,6/4/2016,Tuesday,Highway/Intersection,0,N,33,Broker,1,2510.66,2026,Medium,15000,red,17341.5557,26,multi_vehicle_unclear,yes,69842
0,8350890,1981,M,1,92,30114,0,0,Rent,85040,5/15/2015,Thursday,Unknown,0,N,41,Broker,0,1056.1,2026,Large,66250.54756,other,34272.13486,20,multi_vehicle_clear,yes,72616
0,1319331,1982,F,1,78,38490,1,1,Rent,80023,2/6/2016,Tuesday,Highway/Intersection,3,N,43,Online,1,7103.41,2026,Large,58552.33054,white,13454.46268,19,multi_vehicle_unclear,yes,85576
1,4960137,1986,F,1,67,78828,1,1,Own,85041,4/23/2016,Monday,Unknown,0,N,17,Broker,0,4164.31,2026,Large,74726.93628,other,52422.01753,24,multi_vehicle_unclear,yes,126842
0,4126974,1976,F,1,93,62644,1,0,Rent,15014,1/19/2015,Monday,Parking Area,0,N,34,Phone,1,4492.8,2022,Large,15000,black,42899.73309,22,multi_vehicle_clear,yes,108097
1,8559605,1972,F,1,61,64723,1,1,Own,20159,8/4/2016,Sunday,Unknown,0,N,35,Broker,0,2875.16,2024,Medium,83420.79297,silver,21254.51634,26,multi_vehicle_clear,yes,16611
1,4019448,1975,F,0,62,69485,1,1,Own,20111,1/1/2016,Thursday,Unknown,7,Y,36,Phone,0,1031.53,2025,Large,22993.08432,gray,13877.92703,22,multi_vehicle_unclear,no,46362
0,2387163,1993,F,1,60,39597,1,1,Own,80106,1/22/2015,Monday,Parking Area,0,Y,42,Phone,1,21504.28,2023,Large,15000,white,25048.35679,24,multi_vehicle_clear,no,66864
0,4558725,1982,F,1,69,44295,1,0,Rent,50059,4/12/2016,Saturday,Parking Area,4,N,36,Broker,1,2193,2024,Medium,15000,other,20180.13319,24,multi_vehicle_clear,yes,53020
0,3831078,1969,M,0,92,30015,1,1,Own,85044,2/13/2015,Thursday,Local,7,N,37,Broker,1,1091.53,2013,Large,15000,silver,17742.71576,19,single_car,no,46146
0,6618154,1996,F,0,69,30015,0,1,Own,50023,1/12/2015,Wednesday,Local,0,Y,50,Online,1,10191.39,2022,Compact,24690.29826,white,35656.31101,20,multi_vehicle_unclear,yes,139348
1,9208483,1977,F,0,83,36971,0,1,Own,15060,2/2/2016,Wednesday,Parking Area,0,Y,28,Broker,1,2180.3,2023,Medium,15000,black,8390.335837,22,multi_vehicle_unclear,yes,73790
0,7791041,1970,F,1,68,30015,1,1,Rent,20165,7/17/2016,Thursday,Parking Area,7,N,57,Broker,1,5363.79,2024,Compact,65369.26864,silver,25452.09383,17,single_car,yes,105462
0,5493842,1992,F,1,88,58097,0,0,Rent,85045,7/5/2016,Friday,Local,1,N,43,Broker,1,14433.45,2024,Compact,15000,red,8974.038888,22,multi_vehicle_unclear,yes,89929
0,4360851,1963,M,1,93,37856,1,1,Own,20110,6/27/2015,Saturday,Unknown,0,N,27,Broker,1,1070.24,2022,Compact,39680.95727,white,23730.07599,18,single_car,no,125890
0,4899599,1995,M,1,69,35540,1,0,Rent,20135,9/26/2016,Saturday,Highway/Intersection,3,N,47,Phone,1,1762.33,2026,Medium,15000,silver,38424.15052,23,multi_vehicle_clear,yes,83177
0,2841083,1992,M,0,84,52679,1,1,Own,15050,2/14/2016,Saturday,Parking Area,0,N,33,Phone,1,1965.88,2023,Large,15000,other,26003.32383,25,multi_vehicle_unclear,yes,55334
0,8603675,1979,M,1,100,37694,1,1,Rent,85004,2/24/2015,Saturday,Parking Area,0,N,52,Broker,1,7672.64,2025,Large,58899.96766,gray,16083.4416,19,multi_vehicle_clear,yes,41384
0,4232675,1970,F,1,73,95893,1,1,Own,85017,9/29/2015,Thursday,Highway/Intersection,0,N,38,Broker,0,1594.66,2023,Large,15000,silver,28340.10481,23,single_car,yes,42691
0,5666496,1986,M,1,98,91335,0,1,Own,15003,10/27/2015,Monday,Unknown,6,N,29,Broker,1,3552.43,2023,Large,15000,white,35133.846,25,multi_vehicle_unclear,no,81051
0,2472422,1980,M,1,64,124993,1,1,Rent,15005,6/14/2016,Friday,Parking Area,12,N,20,Broker,0,964.44,2027,Medium,15000,gray,39237.76386,26,single_car,yes,136128
0,6275795,1982,M,0,70,96980,1,1,Own,85031,8/16/2015,Friday,Parking Area,3,Y,27,Online,1,1370.9,2023,Compact,22870.91434,silver,35425.62307,23,multi_vehicle_unclear,yes,53822
0,6244061,1981,F,1,85,97004,1,0,Rent,85062,10/7/2015,Thursday,Local,0,Y,39,Online,0,4079.95,2025,Large,15000,red,9069.327086,23,single_car,no,124421
0,6783520,1986,F,1,68,65916,1,1,Own,85007,5/6/2016,Monday,Local,5,N,19,Broker,0,3035.32,2025,Medium,15000,red,18054.53931,26,single_car,yes,107502
0,9613764,1989,M,1,59,30015,1,1,Rent,20117,6/29/2016,Wednesday,Parking Area,8,N,36,Broker,0,2253.32,2015,Large,27639.56013,white,13221.05131,19,multi_vehicle_unclear,yes,120204
1,7014192,1968,F,1,72,65434,1,0,Own,20128,2/9/2016,Sunday,Local,0,Y,36,Online,1,897.93,2027,Medium,58384.12215,gray,10109.40842,23,multi_vehicle_unclear,yes,23909
0,2623148,1981,F,1,61,34459,1,1,Own,15054,1/13/2015,Friday,Parking Area,0,Y,31,Phone,1,6979.81,2026,Large,63253.65628,red,23188.2354,19,single_car,no,102434
1,8665704,1991,F,1,89,30015,1,1,Own,80006,5/8/2016,Wednesday,Highway/Intersection,0,N,27,Online,1,10249.77,2024,Compact,15000,black,24474.56955,18,multi_vehicle_unclear,yes,94080
0,7505002,1967,M,1,90,52119,1,1,Own,80027,11/15/2015,Thursday,Unknown,2,N,41,Broker,1,1998.91,2022,Compact,37489.01825,blue,22999.15265,30,single_car,yes,70476
0,9959133,1979,F,1,50,44698,1,0,Rent,15035,9/10/2015,Monday,Local,10,N,39,Phone,1,433.77,2027,Medium,21843.15533,other,25175.50102,24,single_car,no,500
0,6432147,1982,M,1,86,92666,0,1,Own,80002,4/17/2016,Saturday,Highway/Intersection,0,N,51,Phone,1,6048.23,2022,Compact,20899.95556,gray,9218.589596,20,multi_vehicle_clear,yes,85285
0,4105609,2001,M,1,66,77908,1,0,Own,0,7/1/2015,Saturday,Local,19,N,42,Phone,0,2429.79,2022,Medium,104602.5116,black,25727.85778,20,multi_vehicle_unclear,no,71452
0,2204974,1987,F,1,73,54719,1,0,Own,20151,3/18/2016,Friday,Local,0,N,42,Online,1,2233.44,2022,Compact,15000,gray,10760.64444,21,single_car,yes,105103
1,4430081,1997,M,1,26,40342,0,0,Rent,50056,3/3/2015,Wednesday,Unknown,18,N,35,Broker,1,2879.03,2022,Large,15000,blue,28643.33208,21,multi_vehicle_unclear,no,95513
