claim_number,accident_key,policy_report_filed_ind,witness_present_ind,past_num_of_claims,claim_est_payout
7670774,1.0,1,Y,0.0,15802.19
7469080,2.0,1,Y,9.0,15712.94
8744063,11.0,1,Y,5.0,15654.3
6946662,4.0,1,Y,5.0,15576.74
2711548,3.0,1,Y,0.0,15536.29
2121391,12.0,1,Y,0.0,15513.32
9988388,10.0,1,Y,23.0,15493.17
5223506,11.0,1,Y,10.0,15486.87
9486524,5.0,1,Y,7.0,15477.17
1738565,2.0,1,Y,0.0,15455.76
2211278,5.0,1,Y,0.0,15433.14
7705790,7.0,1,Y,0.0,15339.46
5253375,4.0,1,Y,0.0,15328.91
8826650,10.0,1,Y,0.0,15313.93
9723853,10.0,1,Y,16.0,15235.2
5199222,11.0,1,Y,0.0,15108.47
4547472,5.0,1,Y,0.0,15071.02
2219766,3.0,1,Y,0.0,15042.25
2057588,12.0,1,Y,0.0,14814.19
1172945,3.0,1,Y,7.0,14718.35
5564253,9.0,1,Y,0.0,14712.24
9134662,11.0,1,Y,0.0,14705.98
5616069,2.0,1,Y,11.0,14703.88
2160704,12.0,1,Y,21.0,14674.73
9736221,8.0,1,Y,0.0,14666.57
3999589,11.0,1,Y,4.0,14628.41
7397950,6.0,1,Y,2.0,14605.07
4039520,5.0,1,Y,0.0,14543.73
2098698,8.0,1,Y,4.0,14532.48
5222375,8.0,1,Y,9.0,14492.07
4982683,7.0,1,Y,0.0,14467.67
9973090,4.0,1,Y,3.0,14226.9
2203623,3.0,1,Y,5.0,14212.44
5462022,11.0,1,Y,9.0,14080.86
6421978,6.0,1,Y,0.0,14080.19
5563922,5.0,1,Y,2.0,14030.95
8298923,6.0,1,Y,0.0,14010.11
2306594,1.0,1,Y,0.0,13990.32
1780203,2.0,1,Y,17.0,13942.38
7980677,4.0,1,Y,0.0,13901.34
3609952,11.0,1,Y,3.0,13858.76
2690428,2.0,1,Y,1.0,13812.5
5117263,8.0,1,Y,0.0,13788.94
8428742,10.0,1,Y,19.0,13783.82
2519264,11.0,1,Y,10.0,13738.4
7872471,3.0,1,Y,0.0,13713.55
1194322,7.0,1,Y,0.0,13682.5
3896093,9.0,1,Y,0.0,13654.18
2110843,1.0,1,Y,0.0,13561.32
4464093,2.0,1,Y,0.0,13532.61
8296184,10.0,1,Y,11.0,13499.79
2934362,8.0,1,Y,0.0,13487.36
1871116,12.0,1,Y,0.0,13464.41
2752288,1.0,1,Y,6.0,13344.59
1614959,4.0,1,Y,0.0,13326.38
3372198,10.0,1,Y,14.0,13235.21
6571430,12.0,1,Y,0.0,13178.6
7843414,5.0,1,Y,0.0,13110.33
5677688,10.0,1,Y,3.0,13063.48
3763567,4.0,1,Y,0.0,12991.63
2826399,3.0,1,Y,15.0,12976.82
9308890,8.0,1,Y,0.0,12929.97
8635356,12.0,1,Y,0.0,12925.66
6139978,2.0,1,Y,0.0,12897.13
7266922,12.0,1,Y,9.0,12844.83
9466626,8.0,1,Y,0.0,12806.56
1568674,6.0,1,Y,0.0,12776.38
9066295,3.0,1,Y,6.0,12752.38
3651284,12.0,1,Y,0.0,12745.97
5009655,5.0,1,Y,5.0,12745.59
7392544,10.0,1,Y,6.0,12690.52
1749432,12.0,1,Y,4.0,12674.01
2890644,8.0,1,Y,0.0,12610.38
3332555,11.0,1,Y,4.0,12509.94
9108088,5.0,1,Y,0.0,12470.51
5294562,9.0,1,Y,0.0,12452.68
6177762,10.0,1,Y,12.0,12399.89
5089207,3.0,1,Y,0.0,12309.46
6386813,2.0,1,Y,13.0,12294.31
5646672,8.0,1,Y,2.0,12217.16
9690125,1.0,1,Y,6.0,12073.72
2386921,2.0,1,Y,5.0,12072.21
2169882,9.0,1,Y,0.0,11993.13
5344824,10.0,1,Y,0.0,11974.91
6541546,5.0,1,Y,1.0,11970.43
2279525,9.0,1,Y,4.0,11908.08
4165478,3.0,1,Y,0.0,11898.75
7541165,7.0,1,Y,0.0,11852.02
2971196,6.0,1,Y,4.0,11851.13
6109997,11.0,1,Y,0.0,11827.5
9821177,1.0,1,Y,6.0,11813.65
3068226,12.0,1,Y,0.0,11671.81
5399234,10.0,1,Y,0.0,11661.73
8536177,3.0,1,Y,0.0,11655.43
5610201,10.0,1,Y,0.0,11616.34
1158713,6.0,1,Y,0.0,11594.33
9053194,8.0,1,Y,0.0,11515.05
9805928,10.0,1,Y,3.0,11482.2
9657474,10.0,1,Y,0.0,11480.09
2058951,11.0,1,Y,21.0,11461.1
8772381,4.0,1,Y,11.0,11457.11
8305747,1.0,1,Y,0.0,11447.48
4329197,7.0,1,Y,0.0,11428.94
8600706,1.0,1,Y,0.0,11408.97
5088648,10.0,1,Y,7.0,11398.21
4359416,3.0,1,Y,11.0,11344.09
1609432,10.0,1,Y,7.0,11323.56
4618827,11.0,1,Y,9.0,11243.64
1761458,5.0,1,Y,22.0,11241.66
6777709,9.0,1,Y,0.0,11228.42
7101600,11.0,1,Y,7.0,11189.78
1099955,9.0,1,Y,0.0,11185.62
9954517,11.0,1,Y,7.0,11167.92
4469876,4.0,1,Y,0.0,11105.48
7033026,11.0,1,Y,0.0,11086.28
5275069,6.0,1,Y,13.0,11054.79
4089339,12.0,1,Y,1.0,11041.6
7089635,3.0,1,Y,8.0,11039.49
5375232,5.0,1,Y,0.0,11014.25
5172155,1.0,1,Y,0.0,10938.1
4838615,11.0,1,Y,0.0,10894.3
4178607,10.0,1,Y,0.0,10892.56
9071431,8.0,1,Y,31.0,10837.32
8801502,3.0,1,Y,0.0,10803.76
9091172,2.0,1,Y,0.0,10764.38
5831571,2.0,1,Y,0.0,10763.38
4285275,5.0,1,Y,4.0,10738.12
1061867,3.0,1,Y,0.0,10737.46
4147048,7.0,1,Y,11.0,10731.45
8770917,7.0,1,Y,10.0,10681.16
7644567,6.0,1,Y,0.0,10664.96
3617442,9.0,1,Y,10.0,10650.92
7776062,12.0,1,Y,0.0,10611.74
2163714,1.0,1,Y,6.0,10600.58
5526983,7.0,1,Y,2.0,10587.06
5191284,4.0,1,Y,0.0,10555.07
3002007,5.0,1,Y,0.0,10492.19
7459542,10.0,1,Y,11.0,10458.46
4200467,7.0,1,Y,4.0,10450.9
3338044,10.0,1,Y,11.0,10446.12
2336007,1.0,1,Y,3.0,10405.61
7301567,11.0,1,Y,15.0,10384.84
4577003,9.0,1,Y,7.0,10351.28
5443712,5.0,1,Y,11.0,10340.94
6478711,8.0,1,Y,0.0,10331.16
4359327,12.0,1,Y,11.0,10328.29
9468040,4.0,1,Y,7.0,10319.78
5138708,12.0,1,Y,2.0,10308.87
3228613,6.0,1,Y,3.0,10289.84
5425942,11.0,1,Y,0.0,10261.92
6786120,10.0,1,Y,4.0,10215.21
6618154,10.0,1,Y,0.0,10191.39
6244653,7.0,1,Y,1.0,10178.78
6556102,11.0,1,Y,0.0,10156.54
3950636,2.0,1,Y,0.0,10155.67
3441107,1.0,1,Y,0.0,10134.51
7946182,11.0,1,Y,0.0,10069.62
6168852,11.0,1,Y,0.0,10066.61
6591172,9.0,1,Y,0.0,10030.01
7900957,11.0,1,Y,0.0,10027.77
5784386,9.0,1,Y,5.0,10018.84
7242956,7.0,1,Y,9.0,9986.49
7134385,3.0,1,Y,1.0,9982.59
8662268,8.0,1,Y,0.0,9903.31
3658408,11.0,1,Y,0.0,9889.94
7000378,7.0,1,Y,6.0,9885.67
9280167,11.0,1,Y,0.0,9885.58
8679644,11.0,1,Y,0.0,9884.56
8932689,11.0,1,Y,0.0,9855.81
4656654,8.0,1,Y,8.0,9847.14
3728984,11.0,1,Y,0.0,9838.91
7158572,12.0,1,Y,3.0,9790.68
3992047,4.0,1,Y,6.0,9777.35
5200914,4.0,1,Y,0.0,9757.12
6690629,6.0,1,Y,6.0,9748.45
4745607,1.0,1,Y,0.0,9708.69
2582531,7.0,1,Y,0.0,9705.64
9580411,10.0,1,Y,0.0,9690.6
3518711,8.0,1,Y,16.0,9684.74
2760459,12.0,1,Y,0.0,9679.1
6273830,3.0,1,Y,19.0,9661.98
9214660,11.0,1,Y,4.0,9650.07
5793988,5.0,1,Y,0.0,9644.53
9496414,10.0,1,Y,0.0,9620.24
1099889,10.0,1,Y,0.0,9592.86
3392212,3.0,1,Y,1.0,9587.13
2724512,3.0,1,Y,0.0,9574.37
8971630,5.0,1,Y,0.0,9570.91
6121762,10.0,1,Y,1.0,9570.28
3239043,1.0,1,Y,0.0,9564.97
2358837,8.0,1,Y,2.0,9551.45
9222955,12.0,1,Y,0.0,9532.03
5294379,12.0,1,Y,17.0,9517.1
5634694,4.0,1,Y,2.0,9503.74
5754056,7.0,1,Y,0.0,9439.59
3765668,11.0,1,Y,4.0,9396.12
7334592,1.0,1,Y,6.0,9389.25
6240567,5.0,1,Y,2.0,9368.78
8549191,5.0,1,Y,0.0,9344.37
3077177,10.0,1,Y,0.0,9336.76
9543233,2.0,1,Y,0.0,9333.21
8276257,4.0,1,Y,0.0,9331.36
1363121,10.0,1,Y,0.0,9302.32
5203459,1.0,1,Y,3.0,9285.72
4938254,4.0,1,Y,0.0,9277.92
1898639,8.0,1,Y,0.0,9258.5
4470456,8.0,1,Y,0.0,9246.96
3153921,3.0,1,Y,1.0,9225.55
5952964,11.0,1,Y,3.0,9212.82
9567675,7.0,1,Y,2.0,9198.75
4795453,8.0,1,Y,6.0,9147.14
9909205,7.0,1,Y,6.0,9129.91
8125991,7.0,1,Y,3.0,9128.64
5454256,7.0,1,Y,4.0,9124.03
2790384,4.0,1,Y,0.0,9119.61
8212562,10.0,1,Y,6.0,9086.53
9897516,7.0,1,Y,0.0,9086.02
8827725,8.0,1,Y,0.0,9044.91
6676441,2.0,1,Y,5.0,9023.03
4387945,6.0,1,Y,2.0,9001.93
2106828,12.0,1,Y,1.0,8987.17
7646533,11.0,1,Y,0.0,8975.88
9794163,4.0,1,Y,9.0,8956.78
8901959,12.0,1,Y,0.0,8953.99
6194499,8.0,1,Y,4.0,8943.6
4354395,4.0,1,Y,0.0,8931.32
1914327,4.0,1,Y,0.0,8925.75
6015216,7.0,1,Y,9.0,8925.31
2252321,7.0,1,Y,2.0,8902.08
9983149,1.0,1,Y,6.0,8898.31
4471820,2.0,1,Y,0.0,8884.93
8708193,9.0,1,Y,6.0,8884.12
2024014,11.0,1,Y,0.0,8844.77
9666357,10.0,1,Y,14.0,8841.39
3495484,6.0,1,Y,0.0,8823.46
7943406,11.0,1,Y,15.0,8820.35
7375867,1.0,1,Y,0.0,8812.48
9683355,10.0,1,Y,0.0,8807.06
4698013,4.0,1,Y,12.0,8793.42
3527953,6.0,1,Y,10.0,8788.73
4585195,11.0,1,Y,0.0,8783.82
9505843,3.0,1,Y,0.0,8775.86
3076599,5.0,1,Y,0.0,8769.41
7889306,8.0,1,Y,0.0,8760.74
1498504,4.0,1,Y,5.0,8754.29
1808527,12.0,1,Y,0.0,8740.67
7543546,6.0,1,Y,18.0,8721.86
1193197,11.0,1,Y,4.0,8710.67
3642261,6.0,1,Y,17.0,8707.42
1168251,7.0,1,Y,4.0,8694.77
8282115,7.0,1,Y,13.0,8626.97
7555823,11.0,1,Y,0.0,8625.71
6933580,8.0,1,Y,0.0,8608.83
7859557,1.0,1,Y,0.0,8598.17
5470485,10.0,1,Y,0.0,8588.66
3305519,10.0,1,Y,0.0,8551.25
2116155,7.0,1,Y,0.0,8522.91
8408707,8.0,1,Y,0.0,8517.23
5171250,4.0,1,Y,5.0,8514.69
8546320,8.0,1,Y,0.0,8475.4
4155295,11.0,1,Y,0.0,8474.59
3409144,5.0,1,Y,3.0,8455.12
5391622,10.0,1,Y,0.0,8452.77
7383917,11.0,1,Y,0.0,8446.93
8085105,7.0,1,Y,3.0,8424.18
3281967,2.0,1,Y,19.0,8400.84
3957760,9.0,1,Y,0.0,8397.21
5426976,8.0,1,Y,0.0,8390.42
7714950,11.0,1,Y,0.0,8380.13
7580410,2.0,1,Y,11.0,8379.69
4487854,5.0,1,Y,3.0,8377.22
5666537,10.0,1,Y,0.0,8375.5
4682252,11.0,1,Y,0.0,8356.62
2686913,12.0,1,Y,1.0,8355.68
2372842,11.0,1,Y,0.0,8350.79
6885359,3.0,1,Y,0.0,8350.48
9285097,1.0,1,Y,0.0,8330.96
7351743,7.0,1,Y,0.0,8317.47
8075234,3.0,1,Y,0.0,8311.17
6156771,9.0,1,Y,0.0,8272.79
1870881,10.0,1,Y,2.0,8272.2
3530931,2.0,1,Y,0.0,8264.11
7336945,12.0,1,Y,2.0,8261.59
4357616,10.0,1,Y,10.0,8258.56
6634149,3.0,1,Y,2.0,8253.5
5440873,9.0,1,Y,0.0,8245.74
4215961,11.0,1,Y,6.0,8233.54
9674916,10.0,1,Y,0.0,8217.11
6529905,12.0,1,Y,10.0,8194.96
3016872,11.0,1,Y,31.0,8180.59
1955681,9.0,1,Y,1.0,8180.04
8432677,10.0,1,Y,0.0,8174.34
2249991,8.0,1,Y,0.0,8162.38
4637116,8.0,1,Y,0.0,8152.49
2274051,1.0,1,Y,0.0,8149.15
6077186,8.0,1,Y,0.0,8147.03
1231805,10.0,1,Y,0.0,8144.08
3200251,5.0,1,Y,0.0,8129.9
1111647,10.0,1,Y,5.0,8091.92
6461259,12.0,1,Y,0.0,8081.33
2388867,12.0,1,Y,6.0,8057.48
6690538,8.0,1,Y,0.0,8054.76
2545762,8.0,1,Y,0.0,8034.51
1505787,3.0,1,Y,0.0,8032.83
8496436,11.0,1,Y,7.0,8027.84
5849636,11.0,1,Y,0.0,8020.51
1751825,3.0,1,Y,17.0,8012.6
8930243,11.0,1,Y,0.0,8006.85
5078483,12.0,1,Y,8.0,7992.18
9389842,12.0,1,Y,0.0,7990.94
4259065,11.0,1,Y,0.0,7960.67
9842423,7.0,1,Y,8.0,7950.02
2578322,11.0,1,Y,0.0,7939.93
8626714,3.0,1,Y,0.0,7934.35
6511348,3.0,1,Y,11.0,7922.5
2747432,10.0,1,Y,4.0,7918.24
1855173,1.0,1,Y,1.0,7901.56
8780119,6.0,1,Y,0.0,7897.16
2943175,8.0,1,Y,5.0,7882.35
3870257,3.0,1,Y,4.0,7873.81
3126811,3.0,1,Y,0.0,7873.8
2156163,2.0,1,Y,0.0,7868.58
9260580,11.0,1,Y,11.0,7852.29
4457133,1.0,1,Y,2.0,7829.25
1179639,11.0,1,Y,0.0,7820.43
5301251,12.0,1,Y,22.0,7815.62
8118270,8.0,1,Y,0.0,7812.52
5734251,2.0,1,Y,0.0,7812.07
6192580,11.0,1,Y,5.0,7803.09
3014854,4.0,1,Y,0.0,7797.32
1460775,5.0,1,Y,0.0,7771.22
3462296,8.0,1,Y,0.0,7763.2
9636522,8.0,1,Y,0.0,7757.24
3757688,4.0,1,Y,1.0,7756.3
5330414,12.0,1,Y,0.0,7741.57
4248490,6.0,1,Y,0.0,7719.67
9623749,12.0,1,Y,11.0,7719.35
5525473,3.0,1,Y,0.0,7715.91
3773267,6.0,1,Y,8.0,7708.56
8650704,10.0,1,Y,6.0,7706.73
5953610,11.0,1,Y,5.0,7705.29
7627103,8.0,1,Y,0.0,7690.02
2098151,11.0,1,Y,0.0,7689.48
3429668,9.0,1,Y,0.0,7664.87
2127938,4.0,1,Y,15.0,7659.59
1351098,10.0,1,Y,0.0,7658.38
4407525,4.0,1,Y,0.0,7652.66
5286546,5.0,1,Y,0.0,7640.49
6802797,11.0,1,Y,6.0,7634.63
1490329,7.0,1,Y,0.0,7626.72
5480665,9.0,1,Y,0.0,7622.5
2914293,9.0,1,Y,0.0,7606.0
2521759,4.0,1,Y,0.0,7601.6
2487831,11.0,1,Y,8.0,7599.65
1317291,10.0,1,Y,21.0,7586.71
7406620,5.0,1,Y,0.0,7566.56
5579654,2.0,1,Y,0.0,7566.0
9783612,12.0,1,Y,2.0,7564.26
1294409,4.0,1,Y,2.0,7562.2
9172448,6.0,1,Y,0.0,7557.72
6346745,11.0,1,Y,3.0,7555.03
8833368,10.0,1,Y,0.0,7546.76
6312228,11.0,1,Y,9.0,7543.13
2800846,7.0,1,Y,0.0,7522.19
4545498,11.0,1,Y,7.0,7511.8
1785312,6.0,1,Y,13.0,7505.38
5744492,1.0,1,Y,11.0,7502.5
1037995,4.0,1,Y,0.0,7499.49
2252506,11.0,1,Y,0.0,7497.21
4774141,12.0,1,Y,1.0,7488.61
6993284,2.0,1,Y,9.0,7486.62
5291730,6.0,1,Y,22.0,7485.11
5823599,3.0,1,Y,0.0,7480.1
7333102,1.0,1,Y,0.0,7478.36
3548581,10.0,1,Y,25.0,7478.29
4606217,8.0,1,Y,0.0,7476.08
8465833,4.0,1,Y,16.0,7475.49
7875015,11.0,1,Y,0.0,7466.96
1144531,8.0,1,Y,0.0,7452.29
7239507,5.0,1,Y,0.0,7447.74
8939722,6.0,1,Y,0.0,7446.99
6924081,9.0,1,Y,0.0,7442.29
2492724,12.0,1,Y,5.0,7432.3
7304868,10.0,1,Y,2.0,7429.34
5952706,2.0,1,Y,0.0,7425.55
3405737,10.0,1,Y,14.0,7421.07
2760863,10.0,1,Y,0.0,7420.28
9151906,3.0,1,Y,4.0,7416.2
1919656,8.0,1,Y,1.0,7413.18
6275594,10.0,1,Y,0.0,7390.11
3834652,6.0,1,Y,14.0,7389.67
6592731,8.0,1,Y,0.0,7377.72
3842840,7.0,1,Y,5.0,7373.7
9746990,1.0,1,Y,0.0,7344.54
4351888,3.0,1,Y,21.0,7336.97
2087833,3.0,1,Y,2.0,7327.25
5951769,9.0,1,Y,0.0,7325.66
1906835,6.0,1,Y,3.0,7325.35
1276224,6.0,1,Y,10.0,7318.95
9613942,7.0,1,Y,6.0,7316.25
5463692,10.0,1,Y,8.0,7315.64
5977078,8.0,1,Y,0.0,7304.96
6548984,12.0,1,Y,0.0,7294.59
1488096,3.0,1,Y,0.0,7293.33
2349786,10.0,1,Y,0.0,7290.16
9352048,3.0,1,Y,0.0,7288.57
8182223,8.0,1,Y,11.0,7288.32
9457383,3.0,1,Y,0.0,7285.11
8893555,4.0,1,Y,0.0,7280.36
9603224,6.0,1,Y,0.0,7264.77
9350913,10.0,1,Y,0.0,7255.71
1564565,3.0,1,Y,0.0,7254.06
7698820,7.0,1,Y,0.0,7244.89
8789126,10.0,1,Y,0.0,7235.32
7566219,7.0,1,Y,0.0,7233.62
7812224,3.0,1,Y,4.0,7225.95
9161744,6.0,1,Y,10.0,7221.95
8382401,12.0,1,Y,21.0,7219.95
8834998,8.0,1,Y,0.0,7216.22
8787169,4.0,1,Y,0.0,7204.1
3196146,10.0,1,Y,5.0,7197.93
6097667,9.0,1,Y,0.0,7187.17
4844693,10.0,1,Y,5.0,7185.05
3975032,10.0,1,Y,0.0,7172.44
9967868,5.0,1,Y,5.0,7170.92
8985756,11.0,1,Y,0.0,7166.57
5784958,4.0,1,Y,6.0,7154.47
9265002,3.0,1,Y,0.0,7118.12
3191801,6.0,1,Y,0.0,7113.49
4815099,3.0,1,Y,0.0,7112.61
8979916,3.0,1,Y,0.0,7112.59
5236567,11.0,1,Y,0.0,7111.95
8947373,6.0,1,Y,0.0,7100.41
6751260,11.0,1,Y,0.0,7099.66
6076550,12.0,1,Y,0.0,7095.41
4035345,3.0,1,Y,0.0,7093.39
2327172,7.0,1,Y,10.0,7086.58
6574112,10.0,1,Y,1.0,7081.95
6026129,11.0,1,Y,0.0,7059.52
3411287,11.0,1,Y,0.0,7054.11
5484534,4.0,1,Y,14.0,7053.34
4443916,1.0,1,Y,22.0,7033.99
3612511,6.0,1,Y,7.0,7027.65
1520853,5.0,1,Y,20.0,7008.59
9187557,5.0,1,Y,5.0,7008.48
4284749,7.0,1,Y,0.0,7006.73
7787260,5.0,1,Y,29.0,6997.77
2994383,5.0,1,Y,12.0,6995.72
2899073,3.0,1,Y,0.0,6988.51
8662895,11.0,1,Y,15.0,6988.3
2623148,9.0,1,Y,0.0,6979.81
6608222,11.0,1,Y,1.0,6978.37
3823948,9.0,1,Y,0.0,6976.74
4361611,1.0,1,Y,0.0,6971.57
3421825,1.0,1,Y,0.0,6950.19
2137257,7.0,1,Y,0.0,6949.48
5635100,8.0,1,Y,2.0,6944.67
7671038,9.0,1,Y,0.0,6937.91
8424088,10.0,1,Y,0.0,6929.22
1751632,6.0,1,Y,0.0,6923.32
2363214,7.0,1,Y,17.0,6923.22
5186535,6.0,1,Y,18.0,6898.12
7242857,10.0,1,Y,0.0,6895.93
1253503,11.0,1,Y,0.0,6894.85
9396183,1.0,1,Y,5.0,6888.35
9495691,9.0,1,Y,1.0,6887.44
3594674,5.0,1,Y,0.0,6880.96
7779352,4.0,1,Y,10.0,6879.77
3512893,11.0,1,Y,0.0,6871.63
2116859,6.0,1,Y,0.0,6868.33
7843888,5.0,1,Y,8.0,6857.02
1646933,9.0,1,Y,0.0,6854.42
1581602,3.0,1,Y,0.0,6839.9
3719130,5.0,1,Y,0.0,6832.76
5725300,1.0,1,Y,0.0,6831.68
2229130,12.0,1,Y,0.0,6829.95
1072785,5.0,1,Y,0.0,6827.27
5966329,2.0,1,Y,6.0,6817.43
5853777,7.0,1,Y,0.0,6817.36
7979166,8.0,1,Y,0.0,6814.19
5973423,4.0,1,Y,7.0,6810.62
8018918,7.0,1,Y,0.0,6810.16
2514546,11.0,1,Y,0.0,6805.43
3482745,10.0,1,Y,21.0,6792.85
5017106,11.0,1,Y,0.0,6791.12
2216247,5.0,1,Y,0.0,6788.89
1400261,10.0,1,Y,0.0,6788.79
4460197,6.0,1,Y,4.0,6754.23
3149540,1.0,1,Y,7.0,6736.94
6250209,8.0,1,Y,0.0,6734.28
2083796,11.0,1,Y,5.0,6733.13
5826850,12.0,1,Y,0.0,6732.89
7174133,8.0,1,Y,0.0,6730.8
5605526,12.0,1,Y,10.0,6729.72
6186223,10.0,1,Y,13.0,6714.17
2878605,7.0,1,Y,0.0,6706.49
9925405,11.0,1,Y,0.0,6701.04
1139788,7.0,1,Y,13.0,6700.86
1876872,4.0,1,Y,0.0,6699.57
3329094,6.0,1,Y,0.0,6687.27
5573564,6.0,1,Y,10.0,6677.25
7969975,4.0,1,Y,0.0,6667.85
4667837,10.0,1,Y,0.0,6663.93
1367588,2.0,1,Y,0.0,6663.83
9836743,11.0,1,Y,0.0,6661.12
7749539,4.0,1,Y,0.0,6660.21
7120179,8.0,1,Y,10.0,6647.26
3594726,1.0,1,Y,3.0,6630.88
3263877,7.0,1,Y,1.0,6624.25
6279410,1.0,1,Y,3.0,6622.28
4206897,8.0,1,Y,0.0,6620.28
6737474,2.0,1,Y,0.0,6612.72
5060869,8.0,1,Y,4.0,6606.45
4183203,3.0,1,Y,8.0,6604.84
9326426,6.0,1,Y,3.0,6600.24
7996055,9.0,1,Y,2.0,6593.48
2154286,6.0,1,Y,0.0,6590.4
8276641,2.0,1,Y,1.0,6589.1
6172282,7.0,1,Y,14.0,6582.57
7366615,8.0,1,Y,4.0,6577.49
9430865,2.0,1,Y,4.0,6574.15
9079543,8.0,1,Y,0.0,6567.56
6565386,4.0,1,Y,0.0,6557.79
5814689,11.0,1,Y,0.0,6557.28
6574946,12.0,1,Y,0.0,6553.16
6234906,9.0,1,Y,0.0,6547.84
2310128,10.0,1,Y,0.0,6539.31
1800848,11.0,1,Y,6.0,6531.68
6873067,12.0,1,Y,0.0,6514.08
2035626,11.0,1,Y,15.0,6510.03
9943001,6.0,1,Y,0.0,6505.58
6316210,5.0,1,Y,0.0,6502.13
7686184,4.0,1,Y,24.0,6479.07
2264391,4.0,1,Y,4.0,6477.98
7195579,5.0,1,Y,21.0,6473.44
5216299,6.0,1,Y,16.0,6471.9
7620562,4.0,1,Y,9.0,6460.98
