annual_income,high_education_ind,email_or_tel_available,address_change_ind,living_status,past_num_of_claims,policyholder_key
30951,0,1,1,Rent,0,93
108873,1,1,0,Rent,0,94
41595,0,1,1,Own,0,95
54048,1,1,0,Rent,14,96
91508,1,1,1,Rent,5,97
48569,1,1,1,Rent,0,98
55776,0,0,1,Own,14,99
30114,0,1,0,Rent,0,100
38490,1,1,1,Rent,3,101
78828,1,1,1,Own,0,102
62644,1,1,0,Rent,0,103
64723,1,1,1,Own,0,104
69485,1,0,1,Own,7,105
39597,1,1,1,Own,0,106
44295,1,1,0,Rent,4,107
30015,1,0,1,Own,7,108
36971,0,0,1,Own,0,109
30015,1,1,1,Rent,7,110
58097,0,1,0,Rent,1,111
37856,1,1,1,Own,0,112
35540,1,1,0,Rent,3,113
52679,1,0,1,Own,0,114
37694,1,1,1,Rent,0,115
95893,1,1,1,Own,0,116
91335,0,1,1,Own,6,117
124993,1,1,1,Rent,12,118
96980,1,0,1,Own,3,119
97004,1,1,0,Rent,0,120
65916,1,1,1,Own,5,121
30015,1,1,1,Rent,8,122
65434,1,1,0,Own,0,123
34459,1,1,1,Own,0,124
52119,1,1,1,Own,2,125
44698,1,1,0,Rent,10,126
92666,0,1,1,Own,0,127
77908,1,1,0,Own,19,128
54719,1,1,0,Own,0,129
40342,0,1,0,Rent,18,130
59372,1,1,1,Rent,4,131
41272,1,1,0,Rent,0,132
72613,1,1,1,Own,0,133
37969,1,1,0,Rent,0,134
38129,1,0,1,Own,0,135
61656,0,1,1,Rent,21,136
66331,0,0,1,Own,0,137
48116,0,1,1,Rent,0,138
82253,1,1,1,Own,6,139
107701,1,1,0,Rent,5,140
30015,0,1,0,Rent,0,141
30015,0,0,0,Rent,0,142
93101,1,0,0,Own,1,143
124993,1,1,1,Own,16,144
30015,0,1,0,Rent,5,145
30015,0,0,1,Own,1,146
67495,0,0,1,Rent,0,147
30015,0,0,1,Own,4,148
41978,1,0,1,Own,16,149
34161,1,1,1,Rent,0,150
49748,0,0,1,Own,6,151
32455,1,1,1,Own,8,152
32111,1,1,1,Rent,1,153
71191,0,1,1,Rent,4,154
39450,1,1,1,Own,0,155
53716,1,1,1,Own,0,156
59012,1,1,0,Own,0,157
92059,1,1,1,Own,0,158
44436,1,1,0,Rent,0,159
31033,1,0,0,Own,12,160
33689,0,0,1,Rent,0,161
83059,1,1,0,Own,0,162
86711,0,1,1,Own,2,163
38031,1,1,0,Own,0,164
62717,1,1,1,Own,0,165
30015,1,1,0,Own,5,166
87565,0,0,1,Own,0,167
33856,0,1,1,Rent,0,168
57865,1,1,1,Rent,0,169
36975,0,1,1,Own,0,170
65581,0,1,1,Rent,12,171
44753,1,1,0,Own,0,172
119881,1,0,1,Own,0,173
57583,1,1,0,Own,0,174
49793,1,1,1,Own,0,175
51683,1,0,1,Rent,0,176
56394,1,0,1,Own,6,177
30015,1,1,0,Rent,0,178
68984,0,1,0,Rent,0,179
32652,1,1,0,Own,0,180
77302,0,1,1,Rent,0,181
82887,1,1,1,Own,1,182
30015,1,0,1,Rent,0,183
32528,1,1,1,Own,0,184
30015,0,1,1,Own,2,185
83944,1,1,0,Rent,1,186
76089,0,0,1,Rent,6,187
58831,1,1,0,Own,6,188
30015,0,1,0,Own,0,189
124993,0,0,1,Rent,0,190
30015,1,1,1,Own,6,191
32194,0,0,1,Own,0,192
48057,1,1,1,Rent,0,193
50896,1,1,1,Own,0,194
67523,1,1,0,Own,0,195
38949,1,1,1,Own,0,196
87775,1,0,0,Rent,12,197
47660,1,1,0,Rent,0,198
43622,0,1,0,Rent,0,199
56774,1,1,1,Own,0,200
51948,0,0,1,Own,0,201
30015,1,1,0,Rent,1,202
42529,1,1,1,Rent,3,203
30015,1,0,0,Rent,5,204
43061,1,1,1,Rent,0,205
51875,0,1,0,Rent,6,206
51182,0,1,1,Rent,3,207
120298,1,1,0,Rent,8,208
59702,1,0,1,Own,8,209
49620,0,1,1,Rent,0,210
73512,0,1,1,Rent,17,211
46401,1,1,0,Own,0,212
31549,0,1,0,Rent,0,213
77315,0,0,0,Rent,7,214
35275,0,1,1,Rent,5,215
51556,1,1,1,Own,8,216
39320,1,1,0,Own,0,217
124993,1,1,0,Rent,3,218
50462,0,1,1,Own,2,219
42119,0,1,1,Own,15,220
43349,1,1,0,Rent,0,221
52949,0,0,1,Rent,0,222
30015,1,0,1,Rent,5,223
57083,1,1,1,Rent,9,224
61269,1,0,0,Own,0,225
34909,1,1,1,Rent,0,226
124993,1,1,0,Own,0,227
43022,0,1,1,Rent,0,228
45914,0,1,0,Rent,0,229
88579,0,0,1,Own,6,230
42125,1,1,1,Rent,4,231
117068,0,1,1,Rent,10,232
82519,1,1,0,Rent,2,233
93286,1,0,1,Rent,0,234
44805,1,1,0,Rent,9,235
30015,1,1,0,Rent,5,236
98701,1,1,1,Own,3,237
72934,1,0,1,Rent,4,238
75471,1,0,0,Own,0,239
54244,1,0,0,Own,0,240
38556,0,1,0,Own,1,241
48014,1,1,1,Rent,34,242
64853,1,0,1,Rent,0,243
30172,0,1,0,Own,0,244
56529,1,1,0,Own,0,245
50721,1,1,1,Rent,1,246
35951,1,0,1,Own,6,247
54266,0,1,0,Own,0,248
121040,1,0,1,Rent,7,249
30015,1,1,0,Rent,6,250
101820,1,0,1,Rent,0,251
35943,1,1,1,Own,0,252
57043,0,1,1,Own,3,253
58394,1,0,0,Own,0,254
30536,1,1,1,Own,0,255
124993,1,1,1,Own,21,256
41647,1,1,0,Rent,0,257
44829,1,1,1,Own,0,258
94003,1,1,0,Own,0,259
107446,0,0,0,Rent,16,260
85645,0,1,1,Own,0,261
78216,1,1,1,Own,22,262
30015,1,0,1,Rent,10,263
57145,1,1,0,Own,0,264
80365,1,0,0,Rent,1,265
80984,0,0,1,Own,0,266
36357,1,1,1,Own,0,267
30015,1,1,1,Rent,9,268
124993,1,1,1,Own,0,269
30015,1,0,1,Rent,19,270
39795,1,0,0,Rent,0,271
94192,1,0,1,Own,14,272
53863,1,1,0,Rent,0,273
45491,1,1,1,Own,0,274
102788,0,0,1,Own,0,275
52036,1,1,0,Own,13,276
31750,0,0,1,Own,0,277
124993,0,1,1,Rent,1,278
31001,1,1,1,Rent,5,279
41565,1,0,1,Rent,15,280
70835,1,0,0,Rent,0,281
87778,0,1,1,Own,2,282
49189,1,1,1,Rent,0,283
62302,0,1,0,Rent,5,284
35366,0,0,0,Rent,0,285
50153,0,0,1,Rent,0,286
97261,0,1,0,Own,0,287
41489,1,0,1,Own,0,288
68958,1,1,1,Own,0,289
35692,1,0,1,Own,3,290
64888,1,1,0,Own,0,291
90347,1,1,1,Rent,21,292
38886,1,0,1,Rent,0,293
32795,1,1,1,Own,0,294
30015,1,1,0,Rent,11,295
87074,1,1,1,Rent,0,296
40223,1,1,1,Own,0,297
67637,1,1,0,Own,0,298
34726,1,1,0,Rent,3,299
77841,0,1,0,Own,11,300
32275,1,0,0,Rent,2,301
30213,1,1,1,Rent,0,302
41102,0,1,1,Own,9,303
41874,0,1,0,Own,0,304
45145,0,1,0,Rent,7,305
33302,1,1,1,Own,4,306
35573,1,1,1,Own,0,307
60762,1,1,1,Own,6,308
45465,0,1,0,Own,0,309
56763,0,0,1,Own,34,310
77690,1,0,0,Own,3,311
91927,1,0,0,Rent,0,312
34973,1,1,0,Rent,23,313
50179,0,1,1,Rent,0,314
104020,0,1,0,Own,2,315
30015,1,1,1,Own,7,316
52734,1,0,0,Own,0,317
48577,1,1,1,Own,6,318
42912,0,0,0,Own,0,319
49710,0,0,1,Rent,0,320
53747,1,1,0,Rent,1,321
56820,0,0,0,Rent,1,322
43947,1,1,1,Own,0,323
75094,1,0,1,Rent,0,324
55018,1,0,0,Own,0,325
87295,1,1,0,Rent,2,326
58251,1,0,0,Rent,6,327
34356,1,1,1,Rent,0,328
30015,0,1,1,Own,6,329
35489,1,1,1,Own,7,330
31027,1,1,1,Own,6,331
38452,1,0,1,Own,13,332
70831,1,0,1,Rent,6,333
49847,1,1,0,Own,0,334
79316,0,0,0,Own,0,335
30015,0,1,1,Rent,1,336
36342,1,0,1,Own,0,337
54908,1,0,1,Own,5,338
48391,1,0,1,Rent,8,339
56991,1,1,0,Rent,0,340
43034,0,1,0,Rent,0,341
39159,1,1,0,Rent,0,342
81357,1,0,0,Own,10,343
30015,0,1,1,Rent,2,344
30015,1,0,1,Own,1,345
43225,1,0,0,Own,0,346
49092,1,0,0,Rent,0,347
43390,1,1,1,Own,14,348
41124,0,0,1,Rent,5,349
77197,1,0,1,Own,12,350
30015,1,1,1,Rent,10,351
46156,0,1,1,Rent,4,352
59903,1,0,1,Own,0,353
124993,0,1,0,Rent,11,354
30015,1,1,0,Own,3,355
48585,1,1,1,Own,3,356
61263,1,0,0,Own,0,357
42330,1,0,1,Own,9,358
69345,1,1,0,Own,5,359
52036,1,0,1,Own,14,360
81956,1,1,1,Rent,18,361
35128,1,0,1,Rent,0,362
30015,0,0,1,Own,8,363
30015,1,0,1,Rent,11,364
66648,1,0,0,Rent,3,365
82210,1,1,1,Rent,0,366
92325,1,1,1,Own,0,367
37056,1,1,0,Own,11,368
30015,1,1,0,Own,7,369
124993,0,1,1,Own,17,370
77491,0,0,1,Own,3,371
34922,1,1,0,Rent,0,372
37973,0,1,0,Own,10,373
74779,1,1,0,Rent,0,374
51352,1,1,1,Rent,3,375
44436,1,0,0,Rent,0,376
57178,1,1,1,Own,0,377
55556,0,1,1,Own,9,378
79342,1,1,1,Own,17,379
85361,0,1,1,Own,0,380
64856,1,1,1,Own,10,381
39798,1,1,0,Own,0,382
32010,1,0,1,Own,7,383
34906,1,1,1,Rent,15,384
50304,0,1,0,Own,0,385
38624,1,1,1,Rent,0,386
49265,0,1,1,Rent,10,387
60085,0,1,1,Own,10,388
62768,1,1,0,Rent,3,389
62892,0,1,0,Own,0,390
81995,0,1,1,Own,0,391
34184,1,1,1,Own,0,392
91948,1,1,1,Rent,7,393
35078,0,1,0,Own,0,394
31213,1,1,1,Rent,11,395
30015,0,1,0,Rent,6,396
124993,0,1,0,Rent,0,397
32565,0,0,0,Rent,18,398
42309,1,1,0,Rent,0,399
35662,1,1,1,Own,14,400
54262,1,0,1,Rent,0,401
34850,1,1,0,Own,12,402
49158,1,1,0,Rent,0,403
91246,1,1,0,Own,0,404
74223,1,0,1,Own,0,405
78474,1,0,1,Own,0,406
48335,0,1,1,Rent,10,407
39319,0,1,1,Own,0,408
108278,1,1,0,Own,3,409
73150,0,1,1,Rent,0,410
98749,0,1,1,Rent,15,411
67223,1,0,1,Own,0,412
30015,1,0,0,Rent,9,413
61020,0,1,1,Own,0,414
65873,1,1,1,Own,4,415
52350,1,1,0,Rent,9,416
79903,1,0,0,Own,0,417
35086,1,1,1,Rent,3,418
30015,0,1,1,Own,12,419
32749,0,1,0,Rent,5,420
55906,1,1,0,Own,0,421
45005,0,1,1,Own,0,422
39886,1,1,0,Own,0,423
36307,0,1,0,Rent,0,424
52206,0,1,0,Rent,1,425
85948,1,1,1,Own,10,426
30015,0,1,0,Own,6,427
79431,1,0,1,Own,0,428
32397,0,1,0,Own,0,429
95521,1,1,0,Rent,6,430
39657,1,1,1,Rent,13,431
84289,1,0,0,Rent,14,432
89788,0,0,1,Own,8,433
86050,0,1,1,Own,0,434
59179,1,1,0,Own,0,435
30015,0,0,0,Own,14,436
42682,0,1,1,Rent,7,437
67492,0,1,1,Rent,0,438
33553,1,1,0,Own,0,439
43002,1,1,1,Rent,0,440
95093,1,0,1,Rent,1,441
30015,1,1,0,Own,13,442
44284,1,0,1,Rent,0,443
32907,1,1,1,Own,0,444
56288,1,1,0,Rent,19,445
35754,0,1,0,Rent,0,446
124993,0,1,1,Rent,3,447
84047,1,1,0,Rent,5,448
57212,1,1,1,Own,4,449
48360,0,1,0,Own,19,450
61360,1,1,0,Rent,8,451
38717,0,0,0,Own,0,452
57892,1,1,0,Own,0,453
30015,0,1,0,Rent,19,454
90354,0,1,1,Rent,0,455
108877,0,1,1,Own,0,456
78550,1,1,1,Own,2,457
112557,1,1,1,Rent,0,458
57635,1,0,1,Rent,26,459
78321,0,1,0,Own,0,460
44196,1,1,1,Own,4,461
57968,1,0,1,Own,2,462
58443,1,0,0,Rent,0,463
47104,0,1,1,Own,0,464
53003,1,1,1,Own,0,465
30015,1,0,0,Own,0,466
97630,0,0,0,Own,1,467
30015,1,1,1,Own,11,468
37383,0,0,0,Rent,0,469
96166,1,0,0,Rent,8,470
53240,1,1,1,Rent,0,471
65215,1,1,1,Own,9,472
69849,1,1,1,Rent,15,473
39803,1,1,0,Own,0,474
72495,0,1,1,Own,2,475
92733,0,0,0,Own,0,476
52842,1,1,1,Rent,0,477
30015,1,0,1,Own,6,478
30015,0,0,1,Rent,2,479
113912,1,1,0,Rent,10,480
76722,1,1,1,Own,0,481
56659,1,0,0,Own,0,482
75913,0,0,1,Rent,8,483
30015,0,1,0,Rent,9,484
39332,1,0,0,Rent,0,485
57999,1,1,1,Rent,3,486
47715,1,1,1,Rent,1,487
30015,1,0,1,Rent,12,488
30015,1,1,0,Rent,2,489
57691,1,0,1,Own,14,490
80823,0,1,0,Rent,4,491
34377,1,1,1,Rent,0,492
46781,1,1,1,Own,0,493
37586,1,1,1,Rent,0,494
40741,1,0,0,Own,4,495
42455,1,1,0,Own,4,496
46988,1,1,1,Rent,10,497
33666,1,0,1,Own,0,498
67147,1,0,1,Own,0,499
49780,1,1,0,Rent,3,500
34916,1,0,0,Own,0,501
42749,1,0,1,Own,0,502
41002,1,0,1,Own,16,503
55667,1,0,1,Rent,7,504
97084,1,1,1,Own,0,505
53288,1,1,1,Own,14,506
30246,0,1,1,Rent,0,507
58464,1,1,1,Own,0,508
44640,1,1,0,Own,0,509
66171,1,1,1,Own,3,510
47847,1,1,0,Own,5,511
31507,1,0,1,Own,3,512
77726,1,1,1,Rent,24,513
124926,0,0,0,Own,4,514
54751,1,0,1,Rent,7,515
30015,1,1,1,Rent,12,516
112028,1,1,0,Rent,0,517
30015,1,0,1,Rent,1,518
60802,1,1,1,Own,0,519
78490,1,0,1,Own,2,520
115057,0,0,1,Rent,0,521
32343,1,1,1,Own,18,522
36720,1,0,1,Rent,3,523
53246,1,1,1,Rent,0,524
66030,0,1,0,Own,2,525
71855,1,0,1,Own,0,526
86468,0,1,1,Rent,0,527
30015,0,1,1,Rent,18,528
31397,0,1,1,Rent,11,529
82580,0,0,1,Own,0,530
102712,0,1,0,Rent,0,531
30762,1,1,1,Rent,0,532
38091,0,1,1,Rent,14,533
30015,0,1,1,Rent,5,534
119671,1,0,1,Own,18,535
48419,0,1,1,Own,0,536
45520,0,1,0,Rent,7,537
31861,1,0,0,Own,0,538
36526,0,1,1,Own,5,539
47497,1,0,1,Rent,0,540
121238,1,1,0,Own,11,541
55222,1,1,0,Own,0,542
30015,1,1,1,Own,12,543
30015,1,0,1,Rent,3,544
30015,1,0,1,Own,11,545
69957,1,0,1,Own,0,546
75881,1,1,1,Rent,0,547
46706,1,1,0,Rent,0,548
35247,1,1,1,Rent,11,549
80040,1,1,1,Rent,0,550
39257,1,0,0,Rent,0,551
30015,1,1,0,Own,8,552
65684,1,1,1,Rent,0,553
55716,1,1,1,Own,7,554
47918,1,0,1,Own,19,555
64039,0,1,0,Rent,0,556
42195,1,0,1,Rent,0,557
54109,1,0,0,Own,0,558
49423,1,1,1,Own,5,559
30015,0,1,0,Own,17,560
30064,1,1,1,Rent,6,561
124993,1,1,0,Own,10,562
33405,0,1,0,Rent,0,563
51680,0,1,1,Rent,0,564
44816,0,1,1,Own,0,565
30395,0,1,0,Rent,0,566
55059,1,1,1,Rent,0,567
98832,1,1,1,Own,0,568
88773,1,1,1,Rent,5,569
52315,0,1,0,Rent,0,570
42959,1,1,1,Rent,0,571
30015,1,1,0,Rent,8,572
90000,1,1,0,Own,11,573
34376,1,1,0,Rent,0,574
51200,0,0,0,Own,6,575
90905,1,0,1,Own,0,576
103083,0,0,1,Own,0,577
56918,1,1,1,Own,0,578
54516,1,1,1,Own,19,579
37587,1,1,1,Rent,0,580
44663,1,1,1,Rent,0,581
53433,0,1,1,Own,0,582
48818,1,1,1,Rent,9,583
99866,1,1,1,Rent,0,584
66684,1,0,1,Rent,5,585
56083,1,1,1,Rent,0,586
30015,0,1,1,Own,21,587
55310,0,1,1,Own,1,588
52460,0,1,1,Own,0,589
58420,0,0,0,Rent,7,590
124993,1,1,0,Own,7,591
68468,0,0,1,Own,0,592
56716,1,1,1,Own,12,593
70805,1,1,0,Own,13,594
34988,1,1,1,Rent,2,595
71081,1,1,0,Own,2,596
82548,1,1,0,Rent,0,597
89262,0,1,1,Own,29,598
37944,1,0,0,Rent,0,599
30015,0,1,0,Rent,3,600
99208,1,0,0,Own,9,601
71332,0,1,1,Own,0,602
38611,0,1,0,Own,0,603
44635,0,1,0,Rent,13,604
30015,1,1,0,Rent,4,605
35242,1,1,1,Rent,12,606
53858,1,1,1,Rent,0,607
31645,0,1,1,Own,0,608
49249,1,0,1,Own,0,609
30015,1,1,1,Own,8,610
52491,0,1,1,Own,17,611
41448,0,1,0,Rent,12,612
38475,1,1,1,Rent,0,613
30732,1,0,1,Rent,13,614
42593,1,0,0,Own,0,615
48985,1,0,0,Rent,15,616
69279,1,1,1,Rent,0,617
67595,0,1,0,Own,0,618
61375,0,1,1,Own,0,619
74505,1,1,0,Rent,6,620
73923,1,1,0,Own,0,621
47041,1,0,0,Own,0,622
48755,0,1,1,Own,9,623
70852,1,1,1,Rent,4,624
43703,1,1,0,Rent,9,625
38506,0,1,0,Own,0,626
32391,1,1,1,Own,15,627
85521,1,1,1,Own,0,628
33221,0,1,0,Own,0,629
33008,1,0,0,Own,11,630
49846,1,1,0,Own,0,631
42122,1,1,0,Rent,0,632
40978,0,1,1,Rent,0,633
89176,1,1,1,Rent,0,634
58163,1,1,0,Rent,5,635
55758,1,1,1,Own,5,636
45163,1,1,0,Rent,0,637
59052,1,0,1,Own,0,638
52290,0,1,1,Own,7,639
77665,1,1,0,Own,12,640
63409,1,1,0,Rent,0,641
52582,1,0,1,Rent,10,642
60025,1,0,1,Own,0,643
98984,0,1,1,Rent,19,644
33390,1,0,1,Rent,4,645
101203,1,1,0,Rent,0,646
77756,1,1,0,Own,1,647
52475,1,1,1,Own,5,648
119269,0,0,0,Own,0,649
52544,1,1,1,Own,10,650
46640,1,1,1,Own,1,651
31682,0,0,0,Rent,8,652
42132,1,1,1,Own,0,653
46109,1,1,0,Rent,0,654
42162,1,1,0,Own,2,655
66280,1,1,0,Rent,0,656
106587,1,0,1,Rent,0,657
37881,1,1,0,Own,0,658
60192,1,0,1,Own,9,659
70984,1,1,1,Own,9,660
86570,0,1,1,Rent,6,661
46398,0,1,1,Rent,11,662
110861,0,1,1,Rent,5,663
48294,1,1,1,Own,1,664
63449,1,1,0,Rent,0,665
30015,0,1,1,Own,4,666
38466,1,1,0,Own,6,667
48019,1,0,1,Own,0,668
35926,1,1,0,Rent,6,669
109248,1,1,1,Own,9,670
32297,0,1,1,Rent,10,671
63419,0,0,0,Rent,0,672
49822,0,1,1,Own,7,673
30015,0,1,0,Own,14,674
106808,1,0,1,Own,1,675
85059,0,1,1,Own,10,676
64409,1,0,0,Own,0,677
45075,1,0,1,Rent,17,678
46982,0,1,0,Own,0,679
67980,1,0,1,Rent,5,680
50556,0,1,1,Rent,0,681
30015,1,1,0,Rent,7,682
59656,1,1,0,Own,0,683
59826,1,1,1,Rent,0,684
59698,0,1,0,Own,0,685
124993,1,0,0,Own,3,686
34563,1,0,1,Own,0,687
30015,0,0,1,Rent,24,688
48655,0,1,0,Own,6,689
32979,1,1,0,Own,0,690
55538,0,1,1,Rent,12,691
30015,0,1,0,Own,13,692
30015,1,1,0,Own,10,693
52569,1,1,1,Rent,10,694
45715,0,0,0,Rent,0,695
40867,1,0,0,Own,3,696
68556,0,1,1,Own,3,697
30015,1,1,1,Rent,5,698
40695,1,1,0,Rent,0,699
40011,1,1,1,Rent,4,700
79396,1,1,0,Own,4,701
60859,0,0,1,Own,0,702
45869,1,0,0,Own,8,703
45026,1,1,1,Rent,22,704
55352,1,0,0,Rent,0,705
32129,1,1,1,Own,5,706
48195,0,0,1,Rent,0,707
54042,0,1,1,Rent,0,708
59912,1,1,1,Own,0,709
118660,1,1,0,Own,0,710
32866,1,1,1,Own,16,711
43837,0,0,1,Own,0,712
42083,1,0,0,Own,0,713
97997,1,1,1,Own,3,714
37671,0,1,1,Rent,14,715
30015,1,1,1,Own,1,716
73553,0,1,0,Rent,2,717
37100,1,0,0,Own,1,718
48328,0,1,0,Rent,16,719
33260,1,1,1,Own,1,720
47096,1,1,0,Rent,8,721
55731,1,1,1,Own,0,722
30015,0,1,0,Rent,7,723
48439,0,1,1,Rent,0,724
44996,1,1,0,Own,12,725
68330,1,1,0,Own,0,726
124993,1,0,0,Own,0,727
40587,1,1,0,Rent,0,728
50389,0,0,0,Rent,9,729
49317,0,1,1,Rent,0,730
93467,1,0,0,Own,0,731
45407,1,1,1,Rent,22,732
34583,1,0,1,Own,2,733
34066,1,1,0,Rent,0,734
86243,0,1,1,Own,0,735
30015,0,1,1,Rent,11,736
52086,0,1,1,Rent,0,737
58603,0,1,1,Rent,1,738
110819,1,1,1,Own,0,739
56361,1,1,1,Own,7,740
46380,1,1,0,Rent,20,741
30015,0,1,1,Own,10,742
47403,1,1,1,Rent,2,743
30015,1,1,0,Rent,9,744
36107,0,1,1,Own,9,745
90055,0,1,0,Own,23,746
60476,0,1,1,Own,0,747
45097,1,1,1,Rent,8,748
34384,0,1,1,Own,0,749
44734,1,1,0,Rent,0,750
53430,1,1,0,Own,8,751
30030,1,0,0,Rent,3,752
73448,1,1,1,Own,0,753
91306,1,0,1,Own,20,754
53254,1,1,1,Rent,20,755
51461,1,0,0,Rent,0,756
40949,1,1,0,Rent,0,757
59585,0,1,1,Own,0,758
124993,1,0,1,Rent,11,759
30015,1,0,1,Rent,31,760
31895,1,1,1,Rent,0,761
48224,1,0,1,Own,0,762
64950,1,1,0,Own,6,763
34224,1,1,0,Own,0,764
58534,1,1,1,Own,3,765
57353,1,1,1,Rent,0,766
41300,1,1,0,Rent,2,767
61944,0,0,0,Own,4,768
71143,1,1,1,Own,0,769
31555,0,1,1,Own,0,770
62939,1,1,1,Own,0,771
39483,1,0,0,Rent,0,772
50719,1,1,1,Rent,0,773
37844,1,1,1,Rent,0,774
64110,1,0,1,Rent,0,775
61919,0,1,1,Own,6,776
75977,1,1,0,Own,21,777
35417,1,0,0,Rent,15,778
39774,1,0,1,Own,8,779
50652,1,0,0,Rent,0,780
67702,1,1,0,Own,0,781
39007,0,1,1,Own,0,782
71730,0,1,0,Own,0,783
57770,1,1,1,Own,0,784
89163,0,1,1,Own,0,785
32119,0,1,1,Own,1,786
65937,1,1,1,Own,8,787
56338,1,1,0,Rent,0,788
60466,1,1,0,Own,0,789
38225,0,0,0,Own,0,790
53289,0,1,0,Own,0,791
50563,0,1,0,Own,0,792
58980,0,1,1,Own,1,793
49238,1,0,0,Rent,0,794
80517,0,1,1,Own,0,795
42559,1,1,1,Own,0,796
53706,1,1,1,Rent,3,797
54686,0,1,0,Rent,0,798
73949,1,0,1,Rent,2,799
69622,1,1,1,Own,0,800
80730,1,1,1,Rent,5,801
31380,1,1,0,Own,0,802
54490,1,1,0,Own,0,803
47131,0,1,1,Rent,0,804
124993,1,1,0,Rent,4,805
83490,1,1,1,Own,18,806
64422,0,1,0,Rent,8,807
48295,0,1,1,Rent,2,808
74032,0,0,0,Rent,0,809
32189,1,0,1,Rent,0,810
93265,1,1,0,Rent,0,811
50530,0,1,1,Own,2,812
54222,1,1,1,Own,0,813
40250,1,1,0,Own,0,814
35108,1,1,0,Own,8,815
41571,1,1,1,Own,0,816
62439,1,1,1,Rent,5,817
57804,1,1,1,Own,0,818
54336,1,1,1,Own,0,819
43127,1,1,0,Own,5,820
30015,0,1,0,Own,5,821
105306,1,1,1,Rent,11,822
124993,0,0,1,Own,5,823
30015,0,0,0,Own,7,824
34337,1,1,1,Rent,0,825
30015,0,1,1,Rent,9,826
45998,0,0,1,Rent,0,827
60465,1,0,1,Rent,13,828
30015,1,1,1,Rent,3,829
57874,1,1,0,Own,0,830
43166,1,0,0,Rent,2,831
63767,1,1,0,Rent,0,832
30015,1,1,1,Rent,1,833
83744,1,0,0,Own,4,834
42759,1,1,1,Rent,0,835
55720,1,1,1,Rent,0,836
65682,1,0,1,Own,0,837
35029,1,1,0,Own,0,838
58676,1,1,1,Own,0,839
36069,1,1,0,Own,0,840
30557,1,0,1,Own,4,841
114572,0,1,0,Own,4,842
112865,1,0,1,Rent,4,843
71885,1,1,1,Rent,0,844
