vehicle_made_year,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,vehicle_mileage,vehicle_key
2022,Compact,96659.35307,black,17655.89772,108114,208
2022,Large,15000,other,14179.2579,62687,209
2022,Medium,15000,blue,24654.32878,13690,210
2023,Compact,26418.64488,blue,17305.56908,64379,211
2027,Medium,72152.39609,black,21836.80469,66661,212
2022,Large,15000,blue,20214.10678,17621,213
2027,Compact,77225.17193,red,30645.76413,65738,214
2027,Compact,15000,silver,13461.2378,84746,215
2027,Large,15000,blue,9946.807808,55686,216
2025,Compact,19303.24166,blue,26830.31174,100000,217
2020,Compact,31597.23139,other,9314.472835,75445,218
2026,Compact,15000,other,14979.43119,116669,219
2027,Medium,15000,red,26149.48866,75010,220
2026,Compact,28141.23703,other,24187.58005,31519,221
2023,Compact,15000,silver,27176.82402,83979,222
2027,Large,15000,other,39897.91642,57707,223
2024,Medium,15000,blue,27130.06729,98979,224
2026,Medium,18489.64646,gray,38330.05473,96519,225
2023,Medium,15000,silver,15258.95169,80624,226
2022,Large,34329.36056,black,12311.61822,65786,227
2022,Large,15000,silver,29397.37411,73409,228
2025,Medium,15000,gray,8775.422679,86190,229
2023,Large,15000,blue,17441.16838,62230,230
2027,Compact,43506.18704,red,26574.43254,70138,231
2026,Large,34292.85539,blue,49564.51313,64849,232
2024,Medium,26409.61112,white,33847.4709,27973,233
2021,Compact,15000,white,13743.2261,120594,234
2017,Large,44249.15193,other,9217.553029,73609,235
2023,Compact,56563.26326,blue,28206.34978,88108,236
2024,Compact,15000,red,26056.52535,109914,237
2024,Medium,15000,other,13289.88184,78852,238
2015,Compact,15000,other,33138.49715,104971,239
2026,Large,15000,red,30054.14022,84160,240
2026,Large,15000,other,28225.81739,112391,241
2013,Medium,37049.27265,other,28258.64041,108017,242
2014,Compact,17425.90319,blue,18107.68883,134724,243
2025,Large,58040.76355,other,10710.98556,83664,244
2023,Medium,52648.48075,gray,25904.11199,77110,245
2015,Compact,47199.36963,black,5959.717,84926,246
2027,Medium,15000,silver,10631.66296,69285,247
2024,Medium,15000,red,31748.44556,111684,248
2027,Compact,33911.09094,white,53437.77701,95893,249
2024,Compact,15000,black,24182.99856,102557,250
2025,Large,15000,blue,21608.80187,111850,251
2022,Medium,15000,blue,15008.32326,51355,252
2018,Compact,20065.59348,white,34615.09437,78667,253
2025,Large,15000,silver,20779.33802,66065,254
2025,Large,15000,other,22088.34218,61268,255
2025,Compact,45057.67652,black,21042.18765,131516,256
2023,Compact,58435.83095,other,20502.67094,71825,257
2022,Compact,15000,silver,19341.17766,132415,258
2022,Large,15000,gray,13038.95909,27082,259
2013,Compact,60744.33784,black,12382.77967,70824,260
2025,Compact,15000,red,45548.14662,62417,261
2014,Medium,15000,white,28311.40117,97661,262
2022,Compact,15000,silver,35937.78748,40251,263
2025,Large,16787.31106,red,22425.07621,27297,264
2025,Large,15000,white,53431.95914,38114,265
2024,Large,15014.49058,silver,13399.78415,67526,266
2025,Large,15000,blue,8646.732093,126131,267
2024,Medium,15000,red,24056.65107,65039,268
2017,Medium,40552.55531,blue,7259.726209,95291,269
2022,Large,15000,gray,17271.26679,67251,270
2024,Compact,74301.44996,red,17067.98239,71526,271
2024,Compact,15000,blue,27809.16711,90964,272
2017,Large,15000,white,40213.81241,71230,273
2026,Compact,15000,gray,19938.49096,110539,274
2023,Compact,15000,white,25993.56344,68238,275
2016,Compact,15000,silver,34562.94701,69219,276
2024,Medium,67872.21026,black,11284.7692,30201,277
2025,Medium,28745.61589,white,48318.38198,119533,278
2022,Compact,15000,silver,21041.21344,101275,279
2024,Medium,58132.09443,white,52396.77456,51879,280
2024,Compact,52677.41069,gray,13454.46268,78712,281
2016,Large,27105.85231,silver,3741.389754,22738,282
2025,Large,51280.53321,other,38717.85008,88442,283
2023,Large,15000,white,15703.26262,35643,284
2022,Large,15000,other,9973.16334,58533,285
2022,Medium,23305.07369,black,21826.60807,93616,286
2022,Medium,15000,silver,13930.50033,37611,287
2025,Large,15000,red,26882.63969,101746,288
2017,Medium,33192.97064,black,13776.78639,110695,289
2025,Medium,75851.39116,other,32699.47117,15209,290
2022,Compact,15000,black,16535.98199,90214,291
2022,Medium,44252.24523,white,17745.1975,90216,292
2026,Medium,15000,blue,46908.95569,56934,293
2024,Large,15000,gray,16215.84794,109035,294
2022,Medium,20835.56161,silver,54210.41475,116961,295
2023,Medium,22842.69846,black,22491.07631,60095,296
2024,Large,15000,red,38692.24963,26567,297
2027,Large,45957.38758,blue,21673.35584,35832,298
2019,Compact,15000,white,15792.23197,129474,299
2022,Compact,15000,silver,19167.08841,108243,300
2020,Medium,38662.95159,silver,12160.78035,129314,301
2020,Medium,40195.57508,gray,37853.85762,102120,302
2022,Compact,55600.96136,silver,15437.10997,130587,303
2025,Medium,59418.89219,silver,10972.04788,119408,304
2027,Medium,19639.78461,black,7101.52425,70449,305
2023,Large,88264.09372,gray,61334.96892,500,306
2006,Compact,50192.90704,red,24256.30193,118089,307
2016,Compact,120248.2852,white,34502.02343,500,308
2026,Compact,50326.5253,red,23043.38447,57932,309
2024,Large,26604.84236,white,26575.15039,88315,310
2023,Compact,15000,gray,10605.48452,95360,311
2027,Large,45399.62449,black,25485.91456,94149,312
2026,Medium,15000,black,24491.10542,71610,313
2026,Medium,15000,silver,23914.22942,59037,314
2024,Large,32511.79046,silver,30830.59871,77065,315
2020,Medium,15000,gray,8332.529546,51402,316
2022,Compact,15000,white,18630.32578,43299,317
2021,Medium,15000,blue,26612.12262,49997,318
2027,Medium,48796.87561,silver,29669.27054,63309,319
2024,Large,20899.95556,red,14745.1774,29208,320
2027,Compact,22368.11225,black,31112.64288,76560,321
2009,Medium,64600.42434,red,28619.21997,25881,322
2005,Medium,15000,blue,5959.717,79516,323
2024,Compact,49360.97683,white,21614.30695,75258,324
2022,Medium,15564.79896,gray,41344.11241,49679,325
2026,Medium,86741.46405,blue,14835.31184,71719,326
2025,Medium,20085.48487,blue,31137.6415,78392,327
2020,Large,69556.73379,black,36024.5682,124534,328
2020,Medium,15000,red,19559.72788,30135,329
2025,Compact,49437.79155,silver,39377.53789,109142,330
2022,Large,43101.86996,white,16930.91569,64374,331
2025,Large,15000,white,15758.31461,62023,332
2018,Large,41973.43366,silver,43131.93249,90906,333
2022,Medium,15000,other,26965.29854,50237,334
2023,Large,15000,blue,30872.90001,111052,335
2024,Compact,15000,other,35881.9691,79399,336
2015,Medium,15848.5019,blue,16253.32293,28697,337
2024,Compact,16355.02864,silver,19758.12493,64628,338
2025,Compact,15000,blue,13503.77682,16918,339
2024,Large,36824.89718,blue,23701.69796,95711,340
2027,Large,43729.99087,silver,12175.15558,46483,341
2022,Large,15000,blue,7561.864655,8789,342
2019,Compact,70157.61129,red,43614.16088,86410,343
2023,Compact,43516.83569,gray,13525.37667,78225,344
2024,Medium,15000,gray,14958.99286,53932,345
2023,Compact,15000,blue,28228.28414,59390,346
2024,Large,15000,gray,26377.73331,119207,347
2024,Medium,15000,other,7764.807986,128439,348
2025,Medium,20483.67753,black,24486.22932,93668,349
2005,Medium,39774.5285,other,43722.3191,64095,350
2022,Medium,46454.98717,white,19198.10528,67048,351
2022,Compact,15000,gray,28000.54748,75960,352
2026,Compact,76399.20805,silver,21558.50524,72382,353
2016,Compact,49555.64187,gray,31011.75674,74668,354
2026,Large,15000,blue,14926.33138,62316,355
2019,Large,16838.67128,silver,38837.91299,62069,356
2022,Medium,51879.59428,black,12944.11407,59844,357
2022,Large,18661.39058,white,21963.39055,147312,358
2025,Medium,15000,blue,6022.947022,48206,359
2017,Compact,15000,white,16486.84494,118165,360
2024,Medium,15000,gray,16438.63802,149348,361
2025,Compact,15000,other,21198.54142,114247,362
2024,Medium,15000,other,23575.76084,87823,363
2027,Compact,15000,other,14813.37303,97841,364
2022,Medium,15000,gray,12809.46365,108838,365
2022,Large,15000,blue,26011.17401,92854,366
2019,Large,15000,white,8124.977243,75266,367
2025,Large,15000,blue,24566.01198,56351,368
2014,Compact,15000,silver,19814.11629,69282,369
2022,Compact,74726.93628,silver,21544.99382,86799,370
2024,Large,21036.03943,white,19157.31139,98996,371
2024,Large,41248.1438,silver,19259.55373,89927,372
2025,Compact,32363.98698,silver,21742.3679,98412,373
2024,Medium,15000,silver,26473.39831,79692,374
2024,Large,15000,silver,20560.79503,57244,375
2023,Large,16837.72074,black,21679.64448,85559,376
2026,Compact,15000,gray,22608.64278,88678,377
2022,Compact,15000,other,10001.67825,98435,378
2010,Compact,51451.97969,other,18594.74082,111844,379
2026,Medium,15000,silver,20173.96852,92856,380
2022,Large,15000,gray,20118.66876,77927,381
2026,Medium,19958.86454,white,20220.96691,89607,382
2026,Large,29398.75653,gray,34101.85692,69612,383
2016,Large,15000,other,10044.86992,79876,384
2026,Large,24896.24043,silver,31431.6788,96875,385
2025,Compact,52135.90804,blue,31354.37782,109493,386
2013,Compact,15000,white,44613.22531,69546,387
2024,Compact,73111.44772,black,12209.33519,87086,388
2024,Medium,28636.41273,gray,15960.70912,28277,389
2022,Large,38428.4847,other,21982.47036,124892,390
2005,Large,15000,white,45376.15613,106042,391
2026,Large,66111.48342,black,22721.18386,78764,392
2026,Large,15000,silver,10002.94555,70123,393
2022,Medium,15000,blue,44225.71534,82033,394
2021,Large,15000,red,4386.008658,41918,395
2018,Large,15000,red,21228.05644,47490,396
2027,Medium,15000,silver,13263.63561,53014,397
2025,Large,15000,gray,33345.08209,110712,398
2019,Medium,40315.80848,gray,7024.659697,62126,399
2017,Large,15000,gray,13345.11562,130878,400
2025,Large,15000,red,23342.89802,59516,401
2027,Medium,59083.52948,gray,23388.52009,72537,402
2026,Medium,15000,white,11068.8619,92081,403
2025,Compact,62710.68046,other,27498.73662,95989,404
2023,Large,27097.56426,blue,14475.31544,83172,405
2026,Large,33075.63413,silver,27128.82612,57774,406
2025,Compact,15000,red,31964.16708,90474,407
2023,Large,15000,red,29336.73662,74475,408
2026,Compact,21548.98079,white,30154.33722,106916,409
2021,Large,15000,red,50731.78693,78115,410
2027,Medium,15000,gray,10438.27434,118682,411
2025,Medium,53944.17527,red,15581.84583,97653,412
2023,Large,15000,silver,8618.471837,120471,413
2024,Medium,16336.74756,other,33770.80035,90162,414
2023,Medium,56337.81684,other,17918.70078,45523,415
2022,Large,46885.48441,silver,14026.38478,82959,416
2019,Medium,43691.22143,blue,16933.12122,34977,417
2023,Compact,15000,red,12938.99753,54055,418
2025,Large,51079.58014,other,19543.0542,101285,419
2023,Large,19467.57123,silver,26950.69073,32155,420
2014,Large,19393.77763,red,35802.01537,82012,421
2026,Compact,27430.31038,black,10662.87676,66454,422
2014,Large,70397.87043,gray,23358.14278,85137,423
2025,Large,15000,blue,57776.50358,55786,424
2026,Large,15000,silver,10372.44292,132247,425
2025,Large,15000,black,28885.16744,109903,426
2026,Compact,15000,white,16020.39579,84909,427
2027,Large,51040.68904,red,32176.35219,95394,428
2022,Medium,67811.76875,silver,33739.15756,59602,429
2027,Compact,57838.06039,white,21731.41766,159640,430
2026,Medium,15000,black,10298.11777,124558,431
2026,Large,15000,black,17008.93536,92477,432
2026,Large,15000,red,27787.47256,96668,433
2023,Medium,26587.33486,black,42770.25881,55289,434
2027,Large,15544.25548,gray,27578.19345,77330,435
2019,Large,15000,red,14921.70383,121230,436
2018,Large,57983.70205,red,13676.22553,81153,437
2021,Large,54342.15289,black,6807.54351,61143,438
2016,Medium,15000,blue,19287.81597,22284,439
2025,Large,40237.00117,other,14925.72632,68625,440
2022,Medium,15000,blue,13833.26516,98645,441
2022,Compact,44670.3513,black,6125.321691,35720,442
2024,Medium,27291.75551,black,26389.61915,81998,443
2018,Large,15000,black,42829.46236,23481,444
2021,Medium,15000,black,9899.018412,115803,445
2027,Medium,15000,black,42655.87579,65090,446
2027,Large,27941.40359,gray,30078.0509,59917,447
2021,Medium,36247.98211,other,13333.65626,148503,448
2025,Medium,18595.43642,black,22509.75679,61126,449
2022,Compact,24747.73171,blue,18834.62888,81876,450
2019,Compact,15000,gray,11844.81721,79767,451
2023,Large,15000,black,18010.34482,84596,452
2027,Medium,15000,gray,5996.118092,21620,453
2018,Large,26396.07983,blue,19341.17766,81487,454
2024,Medium,15000,white,14170.63869,67367,455
2023,Large,15000,silver,22630.48948,78095,456
2024,Medium,15000,silver,40890.13336,81913,457
2027,Large,67221.27369,white,32465.29561,72411,458
2025,Compact,67040.94951,gray,57844.10245,80116,459
2011,Medium,15000,other,16644.43033,13051,460
2023,Compact,28839.54795,black,34522.63897,62839,461
2026,Medium,62552.56189,silver,16266.2303,78460,462
2026,Medium,87911.46657,gray,35011.89008,76547,463
2023,Large,49850.45284,other,23135.33761,49105,464
2023,Compact,36650.93306,black,16015.36489,56810,465
2023,Compact,15000,blue,15599.06178,69132,466
2026,Large,18913.4023,red,9739.231253,118663,467
2023,Medium,28563.39355,blue,22851.21668,64161,468
2023,Compact,15000,white,13677.12983,66082,469
2012,Compact,63361.72466,silver,11303.82814,99253,470
2017,Large,30990.76725,gray,10247.16727,81993,471
2026,Compact,15000,white,43614.16088,90996,472
2025,Medium,46697.42454,silver,14439.51177,114097,473
2014,Large,15000,gray,7432.268006,100559,474
2022,Medium,15000,red,10327.32586,63116,475
2024,Compact,20880.36685,gray,25181.09567,66458,476
2022,Large,15000,other,14643.58346,93087,477
2025,Compact,15000,silver,46749.02749,31327,478
2024,Compact,19689.57857,black,4253.591095,55121,479
2014,Compact,15000,white,33668.56344,87797,480
2025,Medium,32555.2253,gray,16160.01401,54420,481
2022,Compact,15000,red,11573.96759,61956,482
2007,Medium,43419.4356,silver,17548.05432,106193,483
2020,Large,57574.90396,other,17162.34149,31839,484
2022,Compact,15000,black,18169.13281,72957,485
2022,Medium,22796.7996,gray,37993.7357,91395,486
2027,Medium,15000,gray,17093.89653,133592,487
2023,Medium,15000,blue,36555.8617,115731,488
2023,Large,15000,gray,14920.4007,87716,489
2025,Medium,15000,red,47574.87052,500,490
2023,Compact,85295.50539,red,25222.01425,36125,491
2027,Medium,18892.56497,white,44529.17113,74378,492
2023,Compact,15000,blue,24421.16228,99566,493
2026,Medium,61688.04673,silver,14213.30919,55697,494
2023,Large,32950.16844,red,7015.152016,93350,495
2018,Compact,15000,gray,20725.01568,52345,496
2022,Medium,15000,blue,14859.564,109576,497
2015,Large,28954.08645,black,19950.48692,24279,498
2024,Large,15000,other,13677.12983,86605,499
2022,Large,15000,blue,50949.51668,136209,500
2024,Compact,42401.47365,gray,17266.5938,88078,501
2026,Medium,15000,blue,12440.8103,91320,502
2019,Large,15000,other,18380.9183,90186,503
2026,Compact,54231.94564,other,18346.58756,65681,504
2027,Large,25538.13847,white,26877.63242,138880,505
2022,Compact,40461.47365,silver,43218.28983,94266,506
2020,Compact,15000,gray,16284.54794,42869,507
2019,Large,61879.03017,red,45789.71563,103438,508
2024,Compact,19328.79116,other,19162.20348,57629,509
2016,Compact,15000,gray,4993.192688,56829,510
2022,Large,15000,blue,23864.86485,114892,511
2026,Medium,24010.31826,gray,28550.69866,58401,512
2024,Medium,36082.32142,other,22598.73481,44811,513
2023,Compact,46655.62544,black,12246.51763,86352,514
2022,Medium,15000,silver,11374.72262,62734,515
2026,Large,15000,gray,10641.6278,43851,516
2023,Compact,15000,black,11490.06599,95256,517
2027,Medium,48454.82015,gray,31580.59905,35568,518
2019,Medium,25211.26734,other,11964.58838,123079,519
2025,Large,17013.02968,red,20315.8947,73325,520
2016,Medium,15000,red,10428.69454,73039,521
2025,Medium,65700.15647,red,24630.30315,38453,522
2021,Large,15000,gray,13656.20968,76181,523
2022,Medium,19030.74093,white,41528.48027,97855,524
2022,Compact,15000,white,19001.76194,38296,525
2026,Compact,24493.43431,gray,22629.50991,110455,526
2011,Compact,43582.9187,black,57546.76155,500,527
2025,Medium,39906.06981,white,16933.12122,56485,528
2026,Compact,15000,gray,42623.71767,47545,529
2023,Large,54476.48999,white,8461.712999,28316,530
2027,Medium,33503.88989,red,12500.15186,31893,531
2023,Medium,56282.39028,silver,33355.21445,78583,532
2016,Compact,16621.01114,red,34330.40357,83257,533
2006,Compact,33228.23955,red,18529.1814,107653,534
2022,Compact,35784.24038,black,10018.02355,47365,535
2023,Large,50975.88523,blue,24766.17517,89475,536
2017,Compact,49128.99925,black,21620.79697,33163,537
2027,Compact,60016.92286,blue,17114.37085,99211,538
2022,Large,15000,blue,19945.65036,91512,539
2021,Medium,42725.58334,black,21595.42535,114740,540
2021,Large,15904.83181,black,31580.59905,66043,541
2016,Medium,15000,red,13976.34491,53922,542
2022,Compact,15000,black,35564.52241,77819,543
2024,Medium,52408.50303,red,35887.85141,54029,544
2020,Compact,15000,silver,30442.16245,60068,545
2027,Large,56991.58052,gray,30411.7825,93515,546
2023,Large,73093.42799,gray,9402.748332,62567,547
2022,Compact,15000,blue,44927.21389,46905,548
2025,Large,15000,gray,27313.11817,123666,549
2022,Large,29775.89377,silver,33770.93924,58099,550
2025,Medium,15000,red,16534.16258,55328,551
2023,Large,40519.27506,blue,19286.54108,74129,552
2022,Large,28576.42966,other,22031.14389,108588,553
2022,Medium,28593.41333,silver,15010.99747,80761,554
2022,Large,15000,gray,18651.71319,142328,555
2024,Medium,15000,black,26892.45074,64024,556
2026,Compact,40609.93303,black,27463.65536,7185,557
2026,Compact,27066.72636,silver,24078.13318,92741,558
2025,Medium,15000,red,25314.37515,146828,559
2027,Large,28551.35384,blue,19623.05845,91135,560
2023,Large,33543.8619,black,38424.15052,71565,561
2024,Medium,93432.613,other,32255.83338,75901,562
2023,Compact,37307.38424,red,12661.1054,78581,563
